Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
Totals:, , , , , , , ,0,7,8.801M,3.500M
MILROY,REDWOOD CO.,MN,07/01/2011,15:22,CST-6,Thunderstorm Wind,87 kts. EG,0,0,1.500M,1.500M
VESTA,REDWOOD CO.,MN,07/01/2011,15:31,CST-6,Tornado,EF1,0,0,250.00K,0.00K
VESTA,REDWOOD CO.,MN,07/01/2011,15:31,CST-6,Tornado,EF1,0,0,500.00K,0.00K
ECHO,YELLOW MEDICINE CO.,MN,07/01/2011,15:36,CST-6,Thunderstorm Wind,70 kts. ES,0,0,750.00K,500.00K
ECHO,YELLOW MEDICINE CO.,MN,07/01/2011,15:36,CST-6,Tornado,EF1,0,0,500.00K,0.00K
BELVIEW,REDWOOD CO.,MN,07/01/2011,15:41,CST-6,Tornado,EF1,0,0,200.00K,0.00K
BECHYN,RENVILLE CO.,MN,07/01/2011,15:46,CST-6,Thunderstorm Wind,70 kts. ES,0,0,1.000M,1.500M
BECHYN,RENVILLE CO.,MN,07/01/2011,15:46,CST-6,Tornado,EF1,0,0,15.00K,0.00K
REDWOOD FALLS,REDWOOD CO.,MN,07/01/2011,15:51,CST-6,Thunderstorm Wind,51 kts. MG,0,0,0.00K,0.00K
REDWOOD FALLS,REDWOOD CO.,MN,07/01/2011,15:56,CST-6,Thunderstorm Wind,54 kts. MG,0,0,0.00K,0.00K
CASEY,MEEKER CO.,MN,07/01/2011,15:57,CST-6,Hail,4.25 in.,0,0,0.00K,0.00K
REDWOOD FALLS,REDWOOD CO.,MN,07/01/2011,15:57,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
REDWOOD FALLS,REDWOOD CO.,MN,07/01/2011,15:58,CST-6,Thunderstorm Wind,68 kts. MG,0,0,0.00K,0.00K
DANUBE,RENVILLE CO.,MN,07/01/2011,16:00,CST-6,Hail,2.75 in.,0,0,0.00K,0.00K
DARWIN,MEEKER CO.,MN,07/01/2011,16:00,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
FARMING,STEARNS CO.,MN,07/01/2011,16:00,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
REDWOOD FALLS,REDWOOD CO.,MN,07/01/2011,16:00,CST-6,Hail,1.25 in.,0,0,0.00K,0.00K
DANUBE,RENVILLE CO.,MN,07/01/2011,16:03,CST-6,Tornado,EF1,0,0,250.00K,0.00K
RENVILLE ARPT,RENVILLE CO.,MN,07/01/2011,16:04,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
DASSEL,MEEKER CO.,MN,07/01/2011,16:05,CST-6,Hail,2.75 in.,0,1,0.50K,0.00K
DASSEL,MEEKER CO.,MN,07/01/2011,16:05,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
OLIVIA,RENVILLE CO.,MN,07/01/2011,16:05,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
FRANKLIN,RENVILLE CO.,MN,07/01/2011,16:07,CST-6,Funnel Cloud, ,0,0,0.00K,0.00K
DASSEL,MEEKER CO.,MN,07/01/2011,16:09,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
DANUBE,RENVILLE CO.,MN,07/01/2011,16:10,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
REDWOOD FALLS,REDWOOD CO.,MN,07/01/2011,16:11,CST-6,Thunderstorm Wind,55 kts. MG,0,0,0.00K,0.00K
COSMOS,MEEKER CO.,MN,07/01/2011,16:18,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
BROWNTON,MCLEOD CO.,MN,07/01/2011,16:25,CST-6,Thunderstorm Wind,56 kts. EG,0,1,0.00K,0.00K
COSMOS,MEEKER CO.,MN,07/01/2011,16:25,CST-6,Thunderstorm Wind,56 kts. EG,0,0,50.00K,0.00K
BUFFALO,WRIGHT CO.,MN,07/01/2011,16:26,CST-6,Hail,1.25 in.,0,0,0.00K,0.00K
COLLEGEVILLE,STEARNS CO.,MN,07/01/2011,16:26,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
BROWNTON,MCLEOD CO.,MN,07/01/2011,16:30,CST-6,Thunderstorm Wind,61 kts. EG,0,1,0.00K,0.00K
BUFFALO,WRIGHT CO.,MN,07/01/2011,16:30,CST-6,Hail,2.00 in.,0,0,0.00K,0.00K
ST JOSEPH,STEARNS CO.,MN,07/01/2011,16:30,CST-6,Hail,3.00 in.,0,0,0.50K,0.00K
STROUT,MEEKER CO.,MN,07/01/2011,16:30,CST-6,Thunderstorm Wind,56 kts. EG,0,0,0.00K,0.00K
MAPLE LAKE MUNI ARPT,WRIGHT CO.,MN,07/01/2011,16:31,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
