CS,2B,H,SF,G,Player,AVG
4,5,32,1,36,Y Lopez,.286
0,3,21,0,26,B Blumenthal,.333
3,7,42,1,37,T Hagan,.344
1,1,14,2,28,B Harrigan,.179
2,7,41,1,49,E Lara,.256
0,0,6,0,6,R Washington,.429
4,1,31,0,42,J Jackson,.187
0,6,19,0,26,J Nilsson,.229
0,1,1,0,1,A Romine,.500
1,5,23,1,27,J Garcia,.295
0,0,0,0,1,L Tapia,--
0,2,7,0,21,D King,.149
10,10,64,2,54,J Richardson,.317
5,4,39,0,39,D Ingram,.325
2,11,37,1,47,L Carolus,.222
1,9,40,0,46,C Ramirez,.270
0,0,9,0,19,M Cooney,.148
0,1,4,0,4,C Duffy,.308
3,11,40,3,37,I Medrano,.294
5,8,61,0,45,E Carrera,.341
0,2,22,1,27,R Martinez,.250
1,3,15,0,27,J Cabrera,.227
1,9,28,1,44,S Souza,.194
5,2,25,1,42,D McDonald,.187
4,10,35,1,43,D Bomback,.255
6,4,26,3,28,E Solano,.274
1,6,30,1,41,J Waltenbury,.244
0,0,1,0,2,J Wolff,.250
3,4,23,1,35,J Short,.225
0,0,4,0,2,C Maybin,.571
0,1,3,1,9,F Parra,.167
0,0,2,0,4,M Arambarris,.118
3,10,46,5,43,C Lin,.263
0,4,10,0,7,R White,.435
0,0,1,0,2,P Kelly,.200
0,3,18,1,41,T Hamaoka,.212
0,3,8,0,10,T Blanco,.296
0,4,30,0,40,J Bowen,.238
5,8,44,1,43,C Fields,.270
1,9,38,0,39,O Morales,.290
3,4,12,0,24,W Lin,.194
0,1,2,0,2,D Wise,.333
4,6,35,2,43,R Moreta,.227
0,0,5,1,11,M Bouchard,.167
3,5,26,0,31,J Morales,.255
0,1,4,0,8,B Monk,.182
3,6,25,0,37,J Bastardo,.219
0,0,0,0,1,L Bond,.000
0,1,9,0,11,K Rucker,.281
1,4,13,1,27,E Conde,.173
0,0,1,0,1,P Andersen,.500
0,1,11,0,7,J Hage,.393
1,4,34,2,35,R Tejada,.283
0,0,6,0,6,A Rizzo,.286
2,7,60,1,59,F Freeman,.268
4,1,17,0,21,R Henry,.279
0,5,18,1,22,A Soto,.273
3,10,36,1,49,M Mesa,.235
0,0,0,0,2,D Carpenter,.000
0,5,24,0,30,C Jacobs,.250
1,5,16,0,17,R Pena,.308
3,2,34,0,30,L Arlet,.312
0,2,7,0,24,E Vargas,.140
0,4,25,0,31,J Martinez,.272
0,0,1,0,1,C Blair,.500
3,9,72,5,51,A Silverio,.373
0,0,0,0,1,K Perez,.000
0,1,5,1,14,R Tropiano,.167
0,1,2,0,12,R Prall,.077
1,0,1,0,5,B Finegan,.071
0,1,2,0,2,M Thayer,.333
0,0,3,0,12,H Alvarez,.125
0,1,3,2,8,J Egan,.107
