DRB%,ORtg,TRB%,Date,TS%,MP
0.0,0,0.0,2001-02-21,.000,3:00
20.7,61,11.0,2001-03-04,.500,16:00
40.3,97,34.7,2000-11-02,.307,21:00
26.7,108,13.8,2000-11-25,.347,20:00
30.0,65,23.4,2001-01-15,.000,8:00
15.2,95,12.1,2001-01-17,.250,36:00
19.0,129,9.9,2000-12-30,.667,21:00
0.0,26,0.0,2001-02-23,.000,8:00
19.7,202,16.2,2000-12-07,1.000,25:00
26.4,120,24.9,2000-12-19,.667,13:00
20.3,135,15.6,2001-01-12,.500,11:00
20.0,123,18.5,2000-12-01,.512,13:00
0.0,129,5.3,2000-10-31,.600,11:00
8.0,111,10.3,2001-04-18,.481,15:00
25.0,0,12.2,2001-03-23,.000,4:00
16.7,143,8.3,2001-02-28,.665,8:00
0.0,200,0.0,2001-03-09,1.000,4:00
27.4,0,12.0,2001-01-21,.000,5:00
11.9,148,13.1,2000-12-11,.667,29:00
24.8,79,24.5,2001-01-07,.500,22:00
18.2,202,16.9,2001-03-28,1.000,8:00
40.1,0,22.5,2000-12-26,.000,13:00
15.3,127,18.6,2000-11-09,.500,17:00
0.0,0,0.0,2000-11-17,.000,4:00
20.8,185,13.8,2001-04-10,.798,24:00
0.0,0,0.0,2001-04-12,.000,9:00
14.9,74,6.9,2001-03-30,1.000,7:00
0.0,92,10.4,2001-04-13,.250,11:00
40.0,146,27.6,2000-11-24,.644,12:00
28.6,67,13.4,2000-12-28,.333,21:00
32.4,0,15.4,2001-02-13,.000,8:00
0.0,82,11.0,2001-02-16,.000,9:00
16.4,174,14.5,2001-03-02,.833,20:00
52.2, ,26.4,2001-01-29, ,4:00
11.1,223,4.1,2000-12-20,1.064,16:00
14.4,204,13.9,2000-11-08,1.000,8:00
0.0,0,0.0,2000-12-12, ,4:00
15.9,157,13.7,2001-03-06,.800,14:00
61.0,103,30.8,2000-12-22,.694,21:00
29.8,0,16.9,2001-01-23,.000,7:00
