2B,RBI,AVG,OPS,H
1,13,0.273,0.631,36
0,0,0.0,0.333,0
10,13,0.194,0.575,37
2,7,0.22,0.665,29
13,33,0.281,0.81,56
11,22,0.271,0.646,67
12,23,0.256,0.769,45
6,21,0.226,0.629,36
15,42,0.271,0.845,56
6,12,0.209,0.567,29
16,49,0.297,0.925,69
4,13,0.256,0.669,58
15,28,0.356,0.953,67
6,9,0.247,0.621,20
2,11,0.214,0.583,25
8,18,0.252,0.677,58
6,16,0.182,0.566,31
2,7,0.182,0.528,12
9,14,0.268,0.678,44
12,30,0.274,0.703,61
4,14,0.264,0.746,51
5,7,0.263,0.804,21
1,2,0.2,0.633,2
3,6,0.34,0.926,16
5,12,0.158,0.42,22
1,1,0.357,0.929,5
7,5,0.221,0.646,15
8,16,0.272,0.716,40
0,6,0.262,0.761,11
4,4,0.237,0.835,9
3,11,0.207,0.593,18
6,6,0.286,0.796,22
0,4,0.267,0.533,4
1,2,0.267,0.679,8
5,27,0.262,0.777,49
