LVL,VORP,SLG,G
MLB,29.8,0.363,32
MLB,38.7,0.368,31
MLB,15.0,0.336,19
MLB,5.1,0.432,22
MLB,8.9,0.369,17
MLB,26.2,0.307,31
MLB,14.4,0.44,23
MLB,21.2,0.421,33
MLB,21.0,0.361,30
MLB,12.1,0.368,23
MLB,20.7,0.367,20
MLB,9.3,0.382,24
MLB,0.1,0.375,18
MLB,2.1,0.431,26
MLB,10.2,0.349,51
MLB,-18.9,0.426,20
MLB,0.1,0.325,34
MLB,1.8,0.364,49
MLB,45.3,0.356,34
MLB,8.5,0.401,18
MLB,25.4,0.411,33
MLB,15.0,0.363,21
MLB,21.6,0.319,74
MLB,3.1,0.377,47
MLB,25.4,0.399,33
MLB,15.6,0.358,27
MLB,33.2,0.375,31
MLB,42.7,0.33,29
MLB,4.3,0.448,33
MLB,26.3,0.389,33
MLB,10.4,0.395,32
MLB,5.7,0.357,68
MLB,8.3,0.35,30
MLB,6.8,0.359,48
MLB,-0.7,0.455,22
MLB,23.1,0.376,32
MLB,10.2,0.343,27
MLB,6.8,0.336,30
MLB,20.8,0.382,32
MLB,37.2,0.282,26
MLB,54.0,0.277,33
MLB,7.0,0.462,31
MLB,17.1,0.406,32
MLB,7.0,0.31,76
MLB,4.6,0.427,19
MLB,6.6,0.436,13
MLB,17.9,0.351,32
MLB,26.2,0.392,32
MLB,32.5,0.357,31
MLB,13.3,0.389,32
MLB,8.4,0.367,37
MLB,16.6,0.42,30
MLB,30.9,0.355,28
MLB,-0.4,0.344,20
MLB,17.2,0.273,75
MLB,1.2,0.442,24
MLB,-8.0,0.503,24
MLB,1.3,0.445,32
MLB,31.9,0.265,28
MLB,18.0,0.431,29
MLB,4.3,0.378,15
MLB,6.5,0.447,31
MLB,21.7,0.398,30
MLB,31.6,0.363,32
MLB,15.1,0.395,31
MLB,-2.5,0.404,26
MLB,0.2,0.384,32
MLB,7.5,0.363,18
MLB,5.3,0.42,75
MLB,10.9,0.427,33
MLB,5.1,0.451,17
MLB,0.2,0.389,32
MLB,16.2,0.423,32
MLB,9.5,0.413,24
MLB,32.3,0.375,33
MLB,11.8,0.381,34
MLB,4.7,0.413,30
MLB,15.1,0.366,16
MLB,26.0,0.369,34
MLB,5.7,0.366,23
MLB,25.0,0.395,33
MLB,18.3,0.411,30
MLB,5.8,0.45,24
MLB,28.5,0.379,27
MLB,12.5,0.351,70
MLB,10.6,0.437,28
