GS,GmSc,STL%,USG%,Rk,Age,DRtg,Date,BLK%
0,7.0,0.0,23.1,2,32-158,117,1992-11-08,0.0
0,-0.8,0.0,0.0,35,32-241,113,1993-01-30,0.0
0,0.2,13.3,5.5,69,32-311,93,1993-04-10,0.0
0,6.7,0.0,28.0,45,32-265,106,1993-02-23,0.0
0,2.4,0.0,7.3,27,32-224,108,1993-01-13,0.0
0,-0.9,4.9,20.5,8,32-171,118,1992-11-21,0.0
0,2.3,0.0,21.4,18,32-196,104,1992-12-16,0.0
0,-2.2,0.0,18.1,64,32-301,110,1993-03-31,0.0
0,-0.5,6.4,10.9,6,32-167,112,1992-11-17,0.0
0,1.1,0.0,8.7,24,32-219,93,1993-01-08,0.0
0,0.0,0.0,0.0,23,32-216,134,1993-01-05,0.0
0,3.0,0.0,27.1,68,32-310,109,1993-04-09,0.0
0,0.0,0.0,0.0,12,32-178,122,1992-11-28,0.0
0,2.4,0.0,13.2,29,32-227,105,1993-01-16,0.0
0,0.9,0.0,21.3,14,32-185,109,1992-12-05,0.0
0,0.2,0.0,7.7,54,32-281,115,1993-03-11,0.0
0,1.7,0.0,0.0,36,32-245,93,1993-02-03,18.2
0,-0.9,0.0,8.0,5,32-165,109,1992-11-15,0.0
0,-1.2,0.0,13.0,62,32-297,104,1993-03-27,0.0
0,-1.5,0.0,3.8,16,32-192,106,1992-12-12,0.0
0,1.0,0.0,0.0,17,32-194,115,1992-12-14,0.0
0,1.3,0.0,14.8,73,32-319,96,1993-04-18,0.0
0,0.2,0.0,17.7,22,32-213,126,1993-01-02,0.0
0,-2.2,0.0,6.2,26,32-223,113,1993-01-12,0.0
0,-0.5,0.0,8.2,70,32-313,109,1993-04-12,0.0
0,6.7,0.0,19.4,9,32-172,112,1992-11-22,0.0
0,1.8,0.0,12.3,32,32-236,104,1993-01-25,0.0
0,1.5,0.0,5.6,74,32-322,108,1993-04-21,0.0
0,0.9,0.0,0.0,76,32-326,111,1993-04-25,0.0
0,2.2,0.0,4.1,56,32-286,109,1993-03-16,0.0
0,3.0,0.0,8.2,75,32-323,135,1993-04-22,0.0
0,-1.5,0.0,3.6,58,32-290,125,1993-03-20,0.0
0,-1.1,0.0,3.9,15,32-191,118,1992-12-11,0.0
0,3.6,0.0,6.2,4,32-164,119,1992-11-14,0.0
0,0.9,4.0,0.0,63,32-299,99,1993-03-29,0.0
0,1.8,0.0,9.4,53,32-280,103,1993-03-10,4.4
0,4.0,0.0,9.2,37,32-247,99,1993-02-05,0.0
0,-0.4,0.0,5.2,42,32-255,112,1993-02-13,0.0
0,1.6,0.0,6.8,13,32-181,109,1992-12-01,0.0
0,3.8,0.0,10.1,3,32-160,119,1992-11-10,0.0
0,1.7,4.2,6.9,60,32-293,90,1993-03-23,0.0
0,-0.5,0.0,25.8,55,32-285,109,1993-03-15,0.0
0,-0.2,0.0,2.5,65,32-303,110,1993-04-02,0.0
0,2.1,0.0,5.3,51,32-276,120,1993-03-06,0.0
0,-0.7,0.0,9.8,11,32-177,102,1992-11-27,0.0
0,1.0,0.0,15.2,49,32-272,121,1993-03-02,6.1
