#,Trk,Code,Station Name,Arrives,Avg,Departs,Halt,PF,Day#,Km,Speed,Elev,Zone,Address
1.0,|--|,FD,Faizabad Junction, ,+49,05:40, ,--,1,-61.2,31,104m,NR,"Faizabad, Uttar Pradesh"
2.0,|--|,SLRP,Salarpur,05:57,+1:41,05:59,2m,--,1,-52.6,56,106m,NR,"Jaganpur, Uttar Pradesh"
3.0,|--|,SLW,Sohwal,06:06,+1:47,06:07,1m,--,1,-46.0,58,107m,NR,"Faizabad Rd, Uttar Pradesh"
4.0,|--|,DELO,Deorakot,06:15,+1:53,06:16,1m,--,1,-38.3,51,110m,NR,"Dewracoat, Uttar Pradesh"
5.0,|--|,BNM,Baragaon,06:23,+1:55,06:24,1m,--,1,-32.4,43,115m,NR,"Faizabad Rd, Uttar Pradesh"
6.0,|--|,GMU,Gauriyamau,06:30,+0,06:31,1m,--,1,-28.1,50,108m,NR,"Faizabad Rd, Uttar Pradesh"
7.0,|--|,RDL,Rudauli,06:37,+1:50,06:38,1m,--,1,-23.1,30,112m,NR,"Rudauli Dist-Faizabad, Uttar Pradesh"
8.0,|--|,RZN,Rauzagaon,06:49,+2:04,06:50,1m,--,1,-17.6,54,111m,NR,"Faizabad Rd, Uttar Pradesh"
9.0,|--|,PTH,Patranga,07:00,+2:08,07:01,1m,--,1,-8.5,57,113m,NR,"Faizabad Rd, Uttar Pradesh"
10.0,|--|,DYD,Daryabad»,07:10,+2:14,07:11,1m,--,1,0.0,58,116m,NR,"Faizabad Rd, Uttar Pradesh"
11.0,|--|,SYK,Saidkhanpur,07:21,+2:17,07:22,1m,--,1,9.7,61,116m,NR,"Saidkhanpur, Uttar Pradesh"
12.0,|--|,SGJ,SafdarGanj,07:32,+2:21,07:33,1m,--,1,19.8,73,116m,NR,"Faizabad Rd, Uttar Pradesh"
13.0,|--|,RES,Rasauli,07:42,+2:35,07:43,1m,--,1,30.7,13,125m,NR,"Faizabad Rd, Uttar Pradesh"
14.0,|--|,BBK,Barabanki Junction,08:16,+1:40,08:18,2m,--,1,38.0,33,124m,NR,"Pin-225001, Uttar Pradesh"
15.0,/==/,SFH,Safedabad,08:32,+2:34,08:33,1m,--,1,45.6,34,121m,NR,"Barabanki, Uttar Pradesh"
16.0,/==/,JRR,Jugaur,08:39,+1:23,08:40,1m,1,1,49.0,47,123m,NR,"Canal Rd Lucknow, Uttar Pradesh"
17.0,/--/,ML,Malhaur,08:47,+2:42,08:48,1m,--,1,54.5,22,120m,NR,"Lucknow, Uttar Pradesh"
17.1,/==/,LBH,Dilkusha Cabin,09:11,-,09:11, , ,1,63.1,22,122m,NR,"Lucknow, Uttar Pradesh"
18.0,/==/,LKO,Lucknow Charbagh NR•,09:20,-, , ,7,1,66.5,-,124m,NR,"Lucknow 226004, Uttar Pradesh"
