Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 30,at New Mexico State,"L, 49-19",1,2,3,-,-,0,-,-,-,-,-,1,-,-
Sep 8,at Colorado,"W, 30-28",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 15,Northern Colorado,"W, 28-17",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 22,North Dakota,"L, 35-13",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 29,at Idaho State,"W, 54-31",1,0,1,-,-,0,-,-,-,-,-,-,-,-
Oct 6,at Southern Utah,"W, 27-22",1,0,1,-,-,0,-,-,-,-,-,-,-,-
Oct 13,Weber State,"W, 19-14",0,1,1,-,-,0,-,-,-,-,-,-,-,-
Oct 20,at Eastern Washington,"L, 31-28",1,0,1,-,-,0,-,-,-,-,-,-,-,-
Oct 27,Cal Poly,"W, 35-29",0,2,2,-,-,0,-,-,-,-,-,-,-,-
Nov 3,Montana State,"L, 20-17",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 17,at UC Davis,"L, 34-27",2,0,2,-,-,0,-,-,-,-,-,-,-,-
