Name,Pos,Location,Ht,Wt,40,Stars,Rivals Rating,Committed,Videos,Pos Rank,State Rank,Visit Date,Recruited By
Maquedius Bain 3 stars,DT,"Fort Lauderdale, FLUniversity School","6'3""",308,0.0,3 stars,5.7,01/02/2013,6 videos,41.0,74.0,12/14/2012,Corey Raymond
Kendell Beckwith 4 stars,ATH,"Jackson, LAEast Feliciana","6'3""",228,4.7,4 stars,5.9,01/04/2013,4 videos,4.0,3.0,01/18/2013,"John Chavis, Frank Wilson"
Josh Boutte 4 stars,OL,"New Iberia, LAWestgate","6'5""",305,0.0,4 stars,5.9,02/07/2012,7 videos,7.0,5.0,12/14/2012,"John Chavis, Corey Raymond"
Tashawn Bower 4 stars,DE,"Somerville, NJImmaculata","6'5""",241,0.0,4 stars,5.8,02/06/2013,6 videos,14.0,8.0,01/25/2013,Brick Haley
Jeryl Brazil 4 stars,DB,"Loranger, LALoranger","5'10""",181,4.32,4 stars,5.8,01/29/2012,6 videos,16.0,7.0,01/18/2013,Frank Wilson
John Diarse 4 stars,WR,"Monroe, LANeville","6'0""",202,0.0,4 stars,5.8,03/17/2012,12 videos,31.0,10.0,12/14/2012,Adam Henry
Andy Dodd 4 stars,OL,"Lindale, GAPepperell","6'4""",320,0.0,4 stars,5.8,07/20/2012,1 video,13.0,19.0,01/18/2013,Greg Studrawa
Greg Gilmore 4 stars,DT,"Hope Mills, NCSouth View","6'4""",275,0.0,4 stars,5.8,11/08/2012,8 videos,16.0,6.0,11/03/2012,John Chavis
Frank Herron 5 stars,DE,"Memphis, TNCentral","6'5""",260,5.06,5 stars,6.1,06/01/2012,10 videos,3.0,2.0,01/18/2013,John Chavis
Rickey Jefferson 4 stars,DB,"Destrehan, LADestrehan","6'0""",180,0.0,4 stars,5.8,07/15/2012,11 videos,18.0,8.0,01/18/2013,Frank Wilson
Anthony Jennings 4 stars,QB,"Marietta, GAMarietta","6'2""",202,4.52,4 stars,5.9,06/07/2012,3 videos,6.0,12.0,12/14/2012,Steve Kragthorpe
Avery Johnson 3 stars,WR,"Chatham, VAHargrave Military Academy","6'2""",180,4.5,3 stars,5.7,12/21/2012, , , , ,Adam Henry
Melvin Jones 3 stars,LB,"Lake Charles, LAWashington-Marion","6'3""",246,0.0,3 stars,5.7,06/29/2012,3 videos,29.0,23.0,01/18/2013,Adam Henry
Christian Lacouture 3 stars,DE,"Lincoln, NELincoln Southwest","6'5""",270,4.8,3 stars,5.7,11/02/2012,8 videos,18.0,2.0,11/02/2012,Steve Kragthorpe
Quantavius Leslie 4 stars,WR,"Raymond, MSHinds C.C.","6'4""",191,4.4,4 stars,5.8,05/16/2012,2 videos, , , ,Adam Henry
K.J. Malone 3 stars,OL,"Ruston, LACedar Creek","6'4""",300,0.0,3 stars,5.6,03/31/2012,2 videos,35.0,33.0,12/14/2012,Greg Studrawa
Lewis Neal 3 stars,DE,"Wilson, NCHunt","6'1""",232,4.95,3 stars,5.7,07/04/2012,9 videos,22.0,11.0,11/02/2012,John Chavis
Michael Patterson 3 stars,DE,"Winnfield, LAWinnfield Senior","6'3""",230,0.0,3 stars,5.7,03/28/2012,2 videos,17.0,14.0,01/25/2013,Greg Studrawa
Ethan Pocic 4 stars,OL,"Lemont, ILLemont","6'7""",285,0.0,4 stars,6.0,05/29/2012,3 videos,4.0,3.0,12/14/2012,Greg Studrawa
Hayden Rettig 4 stars,QB,"Los Angeles, CACathedral","6'4""",210,0.0,4 stars,6.0,05/22/2012,8 videos,3.0,9.0, ,Steve Kragthorpe
Duke Riley 3 stars,LB,"River Ridge, LAJohn Curtis","6'1""",215,4.59,3 stars,5.6,01/30/2013,1 video,45.0,28.0,01/25/2013,Frank Wilson
Rashard Robinson 4 stars,DB,"Pompano Beach, FLBlanche Ely","6'2""",163,4.44,4 stars,5.8,07/31/2012,5 videos,26.0,45.0,01/18/2013,Corey Raymond
DeSean Smith 4 stars,TE,"Lake Charles, LABarbe","6'4""",222,0.0,4 stars,6.0,07/02/2012,15 videos,2.0,2.0,01/18/2013,"Steve Ensminger, Adam Henry"
Kevin Spears 4 stars,WR,"New Orleans, LAHoly Cross","6'3""",190,0.0,4 stars,5.8,01/19/2013,1 video,43.0,13.0,01/18/2013,Frank Wilson
Logan Stokes 3 stars,TE,"Booneville, MSNortheast Mississippi C.C.","6'4""",240,0.0,3 stars,5.5,05/26/2012, , , ,12/14/2012,"Steve Ensminger, Brick Haley"
Tre'Davious White 5 stars,DB,"Shreveport, LAGreen Oaks","5'11""",175,0.0,5 stars,6.1,02/04/2012,8 videos,4.0,1.0,01/18/2013,Steve Ensminger
