Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Daniel Nava,PorSal,140,26,47,16,1,4,28,0,0,27,21,0.336,0.447,0.55,0.997
Kenneth Roque,LowGCL,125,20,41,8,7,2,19,6,4,18,22,0.328,0.413,0.552,0.965
Ryan Lavarnway,Gre,307,46,89,28,1,20,71,1,2,39,82,0.29,0.374,0.583,0.957
Ryan Westmoreland,Low,149,26,47,12,3,5,25,11,0,25,28,0.315,0.416,0.537,0.953
Jonathan Van Every,Paw,49,6,13,4,0,3,9,0,0,11,15,0.265,0.4,0.531,0.931
George Kottaras,Paw,18,1,5,3,0,0,0,0,0,6,4,0.278,0.458,0.444,0.903
Anthony Rizzo,SalGre,327,50,100,32,0,9,44,3,1,40,82,0.306,0.379,0.486,0.865
Jorge Jimenez,Por,361,50,112,18,2,12,68,2,0,39,41,0.31,0.387,0.471,0.858
Chris Carter,Paw,327,46,97,19,0,16,53,0,0,31,47,0.297,0.355,0.502,0.857
Tim Federowicz,SalGre,307,37,95,25,0,12,48,2,0,12,51,0.309,0.341,0.508,0.85
Derrik Gibson,Low,167,40,55,9,1,0,18,22,3,30,28,0.329,0.443,0.395,0.839
Ryan Kalish,PorSal,317,58,91,13,4,11,51,17,3,48,64,0.287,0.378,0.457,0.835
Paul McAnulty,Paw,249,29,64,15,1,11,41,0,1,37,58,0.257,0.356,0.458,0.814
Tyler Yockey,GCL,64,13,17,3,3,2,12,1,0,5,26,0.266,0.31,0.5,0.81
Leonel Escobar,GCLDSL,65,14,19,7,0,0,11,0,1,10,8,0.292,0.403,0.4,0.803
Mark Wagner,PawPor,215,26,58,22,0,5,37,1,0,29,34,0.27,0.36,0.442,0.802
Moko Moanaroa,GCL,34,3,11,2,0,0,3,1,0,4,6,0.324,0.41,0.382,0.793
Drew Hedman,Low,105,11,30,15,0,0,17,0,2,13,20,0.286,0.361,0.429,0.79
Ryan Dent,SalGre,313,55,86,23,3,6,46,17,5,39,100,0.275,0.362,0.425,0.787
Josh Reddick,PawPor,237,33,63,14,3,9,23,2,5,20,47,0.266,0.319,0.464,0.783
Luis Exposito,PorSal,228,25,64,18,0,7,35,2,2,16,45,0.281,0.331,0.452,0.782
Keury De La Cruz,DSL,211,22,57,12,4,3,42,12,7,36,34,0.27,0.372,0.408,0.78
Brad Correll,Sal,65,13,17,5,0,2,12,2,0,8,13,0.262,0.338,0.431,0.769
Jed Lowrie,3 Teams,61,10,13,5,0,3,9,0,0,9,11,0.213,0.319,0.443,0.762
Will Middlebrooks,Gre,295,37,80,17,3,5,37,6,4,41,99,0.271,0.362,0.4,0.762
