Rk,Year,G#,Date,Tm,Opp,Result,Quarter,Type,Dist,Quarterback,Score Before,Score After
1,1974,1,1974-09-15,PIT,BAL,W 30-0,2,Receiving,54,Joe Gilliam,Lead 3-0,Lead 9-0
2,1974,11,1974-11-25,PIT,NOR,W 28-7,3,Punt Return,64, ,Lead 14-0,Lead 21-0
3,1974,13,1974-12-08,PIT,NWE,W 21-17,3,Receiving,7,Terry Bradshaw*,Lead 12-10,Lead 19-10
4,1975,3,1975-10-05,PIT,CLE,W 42-6,2,Receiving,43,Joe Gilliam,Lead 21-0,Lead 28-0
5,1975,4,1975-10-12,PIT,DEN,W 20-9,1,Receiving,43,Terry Bradshaw*,Trail 0-3,Lead 7-3*
6,1975,4,1975-10-12,PIT,DEN,W 20-9,2,Receiving,9,Terry Bradshaw*,Lead 7-3,Lead 14-3
7,1975,7,1975-11-02,PIT,CIN,W 30-24,2,Receiving,37,Terry Bradshaw*,Tied 3-3,Lead 10-3*
8,1975,7,1975-11-02,PIT,CIN,W 30-24,3,Receiving,25,Terry Bradshaw*,Lead 17-3,Lead 23-3
9,1975,8,1975-11-09,PIT,HOU,W 24-17,1,Receiving,8,Terry Bradshaw*,Lead 3-0,Lead 10-0
10,1975,9,1975-11-16,PIT,KAN,W 28-3,2,Receiving,42,Terry Bradshaw*,Trail 0-3,Lead 7-3*
11,1975,10,1975-11-24,PIT,HOU,W 32-9,2,Receiving,18,Terry Bradshaw*,Lead 9-3,Lead 15-3
12,1975,12,1975-12-07,PIT,CLE,W 31-17,3,Receiving,3,Terry Bradshaw*,Trail 10-17,Tied 17-17
13,1975,12,1975-12-07,PIT,CLE,W 31-17,3,Receiving,18,Terry Bradshaw*,Tied 17-17,Lead 24-17*
14,1975,13,1975-12-13,PIT,CIN,W 35-14,1,Receiving,3,Terry Bradshaw*,Tied 0-0,Lead 7-0*
15,1976,13,1976-12-05,PIT,TAM,W 42-0,3,Receiving,35,Terry Bradshaw*,Lead 28-0,Lead 35-0
16,1976,13,1976-12-05,PIT,TAM,W 42-0,3,Receiving,23,Terry Bradshaw*,Lead 35-0,Lead 42-0
17,1976,14,1976-12-11,PIT,HOU,W 21-0,2,Receiving,21,Terry Bradshaw*,Tied 0-0,Lead 7-0*
18,1977,3,1977-10-02,PIT,CLE,W 28-14,1,Receiving,5,Terry Bradshaw*,Tied 0-0,Lead 7-0*
19,1977,3,1977-10-02,PIT,CLE,W 28-14,3,Receiving,14,Terry Bradshaw*,Tied 14-14,Lead 21-14*
20,1977,7,1977-10-30,PIT,BAL,L 21-31,3,Receiving,32,Terry Bradshaw*,Trail 0-24,Trail 7-24
21,1977,9,1977-11-13,PIT,CLE,W 35-31,1,Receiving,39,Terry Bradshaw*,Trail 0-3,Lead 7-3*
22,1977,10,1977-11-20,PIT,DAL,W 28-13,2,Receiving,9,Terry Bradshaw*,Trail 7-13,Lead 14-13*
23,1977,11,1977-11-27,PIT,NYJ,W 23-20,2,Receiving,5,Terry Bradshaw*,Tied 6-6,Lead 13-6*
24,1977,12,1977-12-04,PIT,SEA,W 30-20,4,Receiving,22,Terry Bradshaw*,Lead 16-13,Lead 23-13
25,1978,2,1978-09-10,PIT,SEA,W 21-10,2,Receiving,4,Terry Bradshaw*,Tied 0-0,Lead 7-0*
26,1978,3,1978-09-17,PIT,CIN,W 28-3,3,Receiving,12,Terry Bradshaw*,Lead 21-3,Lead 28-3
27,1978,5,1978-10-01,PIT,NYJ,W 28-17,1,Receiving,10,Terry Bradshaw*,Tied 0-0,Lead 7-0*
28,1978,5,1978-10-01,PIT,NYJ,W 28-17,3,Receiving,26,Terry Bradshaw*,Lead 14-10,Lead 21-10
29,1978,7,1978-10-15,PIT,CLE,W 34-14,3,Receiving,28,Terry Bradshaw*,Lead 13-7,Lead 20-7
30,1978,8,1978-10-23,PIT,HOU,L 17-24,2,Receiving,25,Terry Bradshaw*,Trail 0-7,Tied 7-7
31,1978,8,1978-10-23,PIT,HOU,L 17-24,4,Receiving,6,Terry Bradshaw*,Trail 10-24,Trail 17-24
32,1978,10,1978-11-05,PIT,NOR,W 20-14,3,Receiving,6,Terry Bradshaw*,Trail 3-7,Lead 10-7*
33,1978,11,1978-11-12,PIT,RAM,L 7-10,3,Receiving,14,Terry Bradshaw*,Tied 0-0,Lead 7-0*
34,1978,13,1978-11-27,PIT,SFO,W 24-7,2,Receiving,22,Terry Bradshaw*,Lead 3-0,Lead 10-0
