SO,SH,R,Team,Player,G,GIDP,SLG,SB,POS
41,3,12,HIL,E Soto,45,0,0.301,3,C
16,0,3,VAN,S Conner,14,1,0.25,0,C
16,0,9,EUG,M Miller,38,6,0.258,0,C
13,0,6,VAN,D Lugo,16,4,0.348,0,SS
8,1,3,EUG,M Del Castillo,16,0,0.333,0,C
24,0,15,SK,J Polonius,39,2,0.372,5,2B
22,0,20,BOI,C Brockmeyer,33,2,0.336,2,C
19,0,18,SK,B Miller,25,0,0.485,3,SS
50,1,15,SPO,B Serrato,50,3,0.292,1,1B
9,1,1,HIL,D Chavez,8,0,0.36,2,2B
22,0,22,BOI,J Hankins,42,6,0.29,2,2B
31,1,21,SPO,E Van Hoosier,46,3,0.361,3,2B
13,0,2,HIL,W Mateo,9,1,0.219,0,1B
50,2,34,HIL,G Roberts,57,8,0.395,3,1B
18,2,9,VAN,C Vazquez,34,1,0.219,2,SS
49,1,43,BOI,C Penalver,68,7,0.359,9,SS
23,0,10,EVE,K Petty,27,3,0.374,5,C
25,1,15,TRI,W Rodriguez,41,6,0.326,2,C
23,0,6,BOI,J Dore,29,1,0.356,1,1B
25,1,29,VAN,A Fermin,57,7,0.358,1,2B
2,0,0,EUG,D Masiello,2,0,0.167,0,C
30,1,16,SK,R Tuntland,36,5,0.393,2,3B
13,0,11,TRI,C Galvez,36,3,0.175,10,SS
4,0,3,EVE,B Hebert,6,0,0.391,2,SS
25,3,22,BOI,L Rymel,46,8,0.315,1,C
36,0,26,VAN,M Reeves,55,8,0.321,2,C
34,0,24,BOI,R Rodriguez,42,5,0.405,0,C
29,0,7,HIL,R Kinsella,30,1,0.359,0,1B
14,1,9,HIL,J Parr,19,1,0.438,5,SS
74,1,27,VAN,J Atkinson,64,3,0.289,2,2B
