MP,G,Date,Rk,TRB%,GS,AST%
15:00,3,1999-11-06,3,8.6,0,8.5
17:00,22,2000-01-20,22,10.0,0,0.0
13:00,25,2000-01-24,25,4.5,0,0.0
12:00,7,1999-11-13,7,17.4,0,0.0
4:00,47,2000-03-21,47,27.3,0,0.0
14:00,2,1999-11-04,2,13.9,0,0.0
20:00,37,2000-02-22,37,17.5,0,23.9
2:00,19,2000-01-09,19,77.9,0,0.0
8:00,33,2000-02-09,33,0.0,0,0.0
10:00,13,1999-12-11,13,18.9,0,0.0
11:00,36,2000-02-19,36,20.3,0,0.0
14:00,21,2000-01-18,21,8.7,0,0.0
23:00,26,2000-01-26,26,23.9,0,6.4
18:00,28,2000-02-01,28,3.8,0,0.0
11:00,11,1999-12-08,11,10.1,0,0.0
19:00,12,1999-12-10,12,3.0,0,10.1
17:00,48,2000-03-27,48,25.4,0,0.0
17:00,14,1999-12-14,14,24.3,0,8.6
12:00,52,2000-04-07,52,4.9,0,20.5
