oRAR,dWAR,Rbaser,Acquired
-6,0.2,-1,Traded
11,-0.3,1,Amateur Draft
1,0.0,0,Traded
41,0.9,-0,Free Agency
320,-0.4,-1, 
-0,-0.3,0,Conditional Deal
-1,0.0,0,Purchased
0,0.1,0,Traded
0,0.0,0,Traded
1,0.1,0,Traded
0,0.0,0,Free Agency
0,0.0,0,Free Agency
16,0.0,-1,Free Agency
27,-0.6,-1,Purchased
0,0.0,0,Waivers
-1,0.1,-0,Waivers
0,0.0,0,Free Agency
0,0.0,0,Traded
0,0.0,0,Traded
-1,-0.1,-0,Assigned
1,-0.2,0,Waivers
55,-1.8,-3,Free Agency
1,0.1,-0,Free Agency
0,-0.2,2,Purchased
0,0.0,0,Free Agency
-0,0.0,0,Traded
-2,2.0,1,Free Agency
10,-0.8,0,Amateur Draft
0,0.0,0,Free Agency
-0,0.1,-0,Traded
