TOV%,eFG%,DRB%,Rk,STL%,Date,ORtg,Age
11.4,.667,9.7,66,0.0,2004-04-04,138,27-333
20.5,.333,13.3,35,6.7,2004-01-10,104,27-248
0.0,1.000,15.2,43,0.0,2004-01-27,207,27-265
25.0,.000,27.4,17,0.0,2003-12-07,33,27-214
14.3,.833,22.7,69,0.0,2004-04-10,134,27-339
 , ,68.6,57,16.1,2004-03-07,219,27-305
0.0,.000,29.8,20,0.0,2003-12-12,70,27-219
0.0,.667,25.7,47,0.0,2004-02-03,133,27-272
11.8,.429,9.4,18,2.8,2003-12-09,98,27-216
14.5,.600,22.9,23,2.6,2003-12-17,106,27-224
 , ,54.5,61,0.0,2004-03-21, ,27-319
13.7,.600,18.0,26,0.0,2003-12-23,114,27-230
0.0,.333,17.6,10,0.0,2003-11-21,117,27-198
0.0,.800,21.1,19,3.6,2003-12-10,165,27-217
25.8,.000,0.0,29,0.0,2003-12-30,95,27-237
0.0,.500,18.0,51,0.0,2004-02-12,125,27-281
0.0,.333,13.6,48,0.0,2004-02-05,94,27-274
0.0,.333,0.0,55,0.0,2004-02-24,89,27-293
0.0,.500,30.9,33,0.0,2004-01-07,158,27-245
0.0,.333,17.4,41,0.0,2004-01-22,83,27-260
0.0,.667,20.9,6,0.0,2003-11-12,146,27-189
0.0,1.000,30.5,71,0.0,2004-04-14,221,27-343
50.0,.000,34.3,14,0.0,2003-11-29,0,27-206
 , ,0.0,60,0.0,2004-03-19, ,27-317
50.0,.500,12.1,46,0.0,2004-02-02,57,27-271
33.3,.000,57.7,13,0.0,2003-11-28,10,27-205
11.4,.500,14.9,1,0.0,2003-10-30,118,27-176
20.0,.750,7.2,67,0.0,2004-04-06,107,27-335
