Date,GS,DRB%,ORB%,eFG%
1990-04-22,0,0.0,7.9,.667
1990-01-02,0,32.4,9.8,.600
1989-12-17,0,16.7,9.5,.500
1990-02-16,0,0.0,8.9,.333
1990-03-26,0,12.7,33.6,.333
1989-12-09,0,36.9,20.0,1.000
1990-02-20,0,22.9,0.0,.000
1990-01-23,0,13.0,8.9,.625
1990-02-21,0,0.0,0.0,.250
1990-03-31,0,0.0,0.0,1.000
1989-12-29,0,19.5,33.3,.333
1989-11-05,0,36.8,11.3,1.000
1989-11-08,0,0.0,0.0, 
1990-01-04,0,0.0,18.5,.400
1990-01-18,0,7.6,16.9,.375
1990-02-13,0,15.2,13.0,.400
1989-12-05,0,0.0,0.0,.500
1990-01-12,0,16.0,0.0,.500
1990-01-09,0,10.1,0.0,1.000
1989-11-29,0,14.0,0.0,1.000
1990-02-25,0,28.6,0.0,.500
1989-12-26,0,0.0,0.0,1.000
1989-12-13,0,20.0,17.4,.200
1990-02-14,0,25.4,0.0,.250
1990-01-06,0,0.0,0.0,.667
1990-03-21,0,0.0,0.0, 
1990-03-02,0,0.0,0.0,.500
1989-12-27,0,19.4,12.8,.000
1989-11-10,0,0.0,0.0,.000
1990-04-12,0,6.9,7.4,.500
1990-02-08,0,0.0,7.6,.200
1990-02-18,0,19.3,0.0,.500
1989-12-12,0,14.2,10.8,.667
1990-03-28,0,0.0,19.0,.000
1990-02-04,0,20.8,0.0,.500
