Date,Opponent,PA,AB,BB,1B,2B,3B,HR,R,RBI,SB,HBP,SO,AVG
2015-07-01,Colorado,4,3,1,1,1,0,0,1,0,0,0,0,0.667
2015-07-02,Seattle,4,3,1,1,0,0,0,1,0,0,0,1,0.333
2015-07-03,Seattle,4,4,0,0,0,0,0,0,0,0,0,1,0.0
2015-07-04,Seattle,4,3,0,1,0,0,0,0,2,0,0,0,0.333
2015-07-05,Seattle,4,4,0,1,1,0,0,0,0,0,0,0,0.5
2015-07-07,N.Y. Yankees,4,4,0,0,0,0,0,0,0,0,0,1,0.0
2015-07-08,N.Y. Yankees,5,4,1,0,0,0,0,0,0,0,0,0,0.0
2015-07-09,N.Y. Yankees,4,4,0,0,0,0,0,0,0,0,0,1,0.0
2015-07-10,Cleveland,4,3,1,0,1,0,0,0,0,0,0,1,0.333
2015-07-11,Cleveland,4,4,0,2,0,0,0,1,0,0,0,0,0.5
2015-07-12,Cleveland,4,4,0,2,0,0,0,0,0,0,0,1,0.5
2015-07-17,Minnesota,4,3,1,1,0,0,0,0,0,0,0,0,0.333
2015-07-18,Minnesota,4,3,1,0,0,0,0,0,0,0,0,0,0.0
2015-07-19,Minnesota,4,4,0,0,1,0,0,1,1,0,0,0,0.25
2015-07-21,Toronto,4,3,1,1,0,0,0,1,0,0,0,1,0.333
2015-07-22,Toronto,5,4,1,0,1,0,0,0,0,0,0,1,0.25
2015-07-23,Toronto,4,4,0,0,0,0,0,0,0,0,0,0,0.0
2015-07-24,San Francisco,4,4,0,0,0,0,1,1,1,0,0,2,0.25
2015-07-25,San Francisco,4,3,1,1,1,1,0,0,0,0,0,0,1.0
2015-07-26,San Francisco,4,4,0,2,0,0,0,1,0,0,0,0,0.5
