Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Alixon Suarez,DSL,144,28,42,10,4,1,17,2,3,31,28,0.292,0.446,0.438,0.884
Jackie Bradley,PorSal,329,63,104,30,3,5,41,19,7,71,58,0.316,0.438,0.471,0.909
Garin Cecchini,Gre,325,66,110,32,3,4,49,37,3,48,62,0.338,0.423,0.492,0.916
Raymel Flores,DSL,94,18,26,2,7,0,13,4,3,16,24,0.277,0.415,0.447,0.862
Travis Shaw,PorSal,323,54,91,29,3,12,58,9,2,61,87,0.282,0.397,0.502,0.899
Aneudis Peralta,DSL,141,20,38,11,1,0,21,2,3,25,25,0.27,0.397,0.362,0.758
Boss Moanaroa,Gre,281,38,73,14,1,3,36,1,1,67,87,0.26,0.395,0.349,0.744
Andres Garcia,DSL,161,32,39,3,3,0,22,11,6,39,24,0.242,0.39,0.298,0.689
Alex Hassan,Paw,236,31,65,8,0,5,36,1,1,38,48,0.275,0.386,0.373,0.759
Jose Colorado,LowGCL,135,25,40,15,1,1,25,8,5,19,28,0.296,0.38,0.444,0.824
Adalberto Ibarra,Sal,205,26,57,15,1,0,22,4,4,29,33,0.278,0.379,0.361,0.74
Xander Bogaerts,PorSal,365,57,117,30,3,14,61,4,3,27,77,0.321,0.377,0.534,0.911
Mauro Gomez,Paw,267,45,82,25,1,11,42,1,0,26,59,0.307,0.375,0.532,0.907
Nick Moore,LowGCL,128,23,35,4,2,3,19,3,1,21,39,0.273,0.375,0.406,0.781
Manuel Margot,DSL,174,33,47,9,3,4,34,27,8,21,12,0.27,0.371,0.425,0.796
Michael Almanzar,Sal,351,47,110,27,0,10,42,9,3,27,61,0.313,0.37,0.476,0.846
Roberto Duncan,DSL,133,31,29,7,1,2,17,6,1,22,37,0.218,0.367,0.331,0.698
Lars Anderson,Paw,248,37,64,16,2,7,38,1,0,43,65,0.258,0.365,0.423,0.789
J.C. Linares,PawPor,322,43,102,23,2,11,49,0,0,19,54,0.317,0.361,0.503,0.864
Bryan Johns,3 Teams,192,25,46,13,0,0,13,4,3,33,45,0.24,0.361,0.307,0.668
Zach Gentile,PorSal,125,15,34,9,0,0,18,2,1,14,17,0.272,0.357,0.344,0.701
Nathan Minnich,LowGCL,91,11,20,5,1,0,13,0,0,19,30,0.22,0.357,0.297,0.653
Dan Butler,PawPor,248,29,63,15,2,7,28,0,0,32,48,0.254,0.353,0.415,0.768
Deven Marrero,Low,162,29,42,9,3,1,16,11,2,23,33,0.259,0.353,0.37,0.723
Jeremy Hazelbaker,PawPor,322,55,89,17,4,14,44,31,8,30,90,0.276,0.352,0.484,0.836
