SF,3B,G
2,0,75
4,2,134
0,1,12
1,0,27
2,1,34
0,0,1
9,2,92
1,1,64
5,3,97
1,2,73
5,0,45
4,8,130
0,0,17
1,0,55
2,1,60
0,0,37
1,0,27
4,1,48
2,0,70
1,1,78
1,2,120
0,0,24
2,2,74
2,3,119
0,0,1
0,0,10
1,3,30
0,0,4
6,0,86
0,0,1
0,0,1
0,0,1
0,0,3
7,6,133
3,0,80
0,1,120
0,0,6
0,0,16
1,7,131
1,1,34
7,7,129
1,0,32
0,0,4
1,0,38
0,0,2
0,0,13
1,2,56
2,2,54
3,0,81
0,0,9
2,0,59
0,0,1
0,0,2
1,1,40
0,0,19
0,0,10
4,3,103
2,0,15
2,2,65
4,4,123
3,0,107
1,0,68
2,1,87
0,1,85
0,0,7
5,1,53
0,2,41
4,5,39
0,0,10
0,0,14
1,1,53
3,1,73
2,2,84
0,0,1
4,0,55
0,1,33
8,2,88
0,0,1
0,1,26
3,6,83
