G,Tm,DRtg,eFG%,TRB%,TS%
23,MIL,93, ,24.2, 
56,MIL,98,.333,13.0,.333
16,MIL,85,.143,16.3,.285
46,MIL,114,.000,0.0,.000
29,MIL,114,.167,3.2,.167
31,MIL,140,.000,0.0,.000
24,MIL,118,.000,6.8,.000
55,MIL,105,1.000,0.0,1.000
27,MIL,124, ,0.0, 
14,MIL,92,.250,13.4,.205
25,MIL,129,.000,0.0,.000
28,MIL,100,.667,5.7,.667
49,MIL,109,.000,6.7,.000
45,MIL,126,.000,7.8,.174
51,MIL,105,.000,9.9,.000
33,MIL,111, ,0.0, 
35,MIL,91, ,16.3, 
19,MIL,105, ,0.0, 
7,MIL,106,.833,16.9,.840
42,MIL,96,.500,4.6,.500
34,MIL,123,.000,23.1,.000
41,MIL,90,.000,18.2,.000
15,MIL,110, ,0.0,.568
37,MIL,118, ,0.0, 
6,MIL,120,.500,2.1,.500
20,MIL,120, ,0.0, 
21,MIL,114,.750,11.7,.750
53,MIL,108,1.000,29.6,1.000
18,MIL,120,.000,9.9,.000
8,MIL,118,.500,16.0,.563
39,MIL,113,1.000,18.6,1.000
