Team,SO,2B,BB,OBP,Player
HIL,37,7,15,0.269,R McCurry
EVE,18,6,13,0.382,D Peterson
TRI,60,7,11,0.251,P Hutcheson
HIL,50,8,17,0.326,G Roberts
HIL,16,1,7,0.418,D Palka
SPO,36,5,20,0.307,J Jackson
EUG,1,0,0,0.333,E Charles
EVE,4,2,3,0.357,B Hebert
TRI,22,3,3,0.253,B Waldrip
BOI,39,8,18,0.346,D Lockhart
TRI,55,17,18,0.322,M Benjamin
BOI,17,8,8,0.416,K Bryant
SK,36,14,35,0.36,S Eberle
SPO,49,11,41,0.367,M Greene
VAN,18,2,8,0.259,C Vazquez
EUG,4,0,0,0.0,C Kreuter
SPO,32,5,25,0.345,G Roa
EUG,48,10,12,0.276,F Blanco
BOI,71,11,45,0.394,J Rogers
TRI,25,5,18,0.355,W Rodriguez
VAN,36,6,28,0.374,M Reeves
TRI,6,0,1,0.143,A San Juan
BOI,4,0,0,0.222,N Rosario
TRI,40,5,15,0.321,C O'Dowd
SK,12,1,3,0.326,C Otero
BOI,23,6,11,0.284,J Dore
SPO,25,9,11,0.333,K Torres
EUG,46,4,13,0.273,A Torres
BOI,30,4,10,0.313,J Marra
HIL,14,3,10,0.373,J Parr
HIL,16,3,9,0.3,C Carrasco
EUG,36,2,10,0.252,C Jensen
HIL,9,3,2,0.321,D Chavez
EVE,19,4,9,0.244,L Kauppila
TRI,0,0,1,0.333,Z Osborne
EVE,3,0,1,0.125,D Torres
VAN,12,0,4,0.235,J Vega-Rosado
SPO,50,6,25,0.317,B Serrato
SPO,23,7,12,0.3,A Triunfel
TRI,34,7,17,0.296,A Graeter
VAN,22,1,5,0.261,D Klein
TRI,33,15,23,0.345,P Valaika
SPO,51,11,22,0.288,C Schiller
EUG,5,0,2,0.353,R Bruguera
HIL,34,8,5,0.27,Y Gutierrez
SK,12,7,2,0.368,L Rojas
VAN,18,1,9,0.339,D Arcila
SK,44,12,26,0.391,J Sy
SPO,46,11,16,0.306,J Castro
HIL,25,1,9,0.238,J Leonard
SPO,31,9,16,0.332,E Van Hoosier
EUG,58,15,12,0.304,T Santos
SK,24,4,9,0.333,J Polonius
VAN,34,11,24,0.435,J Leyland
TRI,13,2,10,0.218,C Galvez
EUG,8,1,3,0.289,M Del Castillo
HIL,32,8,18,0.311,J Parr
