Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Che-Hsuan Lin,Paw,113,396,41,97,11,5,2,30,15,5,42,65,0.245,0.321,0.313,0.634
Nate Spears,Paw,108,346,46,83,16,4,10,38,3,1,43,86,0.24,0.329,0.396,0.725
Lars Anderson,Paw,93,340,49,88,22,2,9,52,1,0,56,89,0.259,0.359,0.415,0.774
Tony Thomas,Paw,68,223,35,54,10,2,10,30,12,1,22,64,0.242,0.308,0.439,0.747
Pedro Ciriaco,Paw,64,276,41,83,13,2,4,21,14,7,6,49,0.301,0.318,0.406,0.724
Mauro Gomez,Paw,100,387,65,120,34,1,24,74,1,0,35,88,0.31,0.371,0.589,0.96
J.C. Linares,Paw,52,203,24,60,11,1,8,29,0,0,7,37,0.296,0.319,0.478,0.797
Jonathan Hee,Paw,64,198,13,50,11,1,2,21,2,3,16,40,0.253,0.324,0.348,0.673
Jose Iglesias,Paw,88,353,46,94,9,1,1,23,12,3,27,46,0.266,0.318,0.306,0.624
Ryan Lavarnway,Paw,83,319,52,94,22,0,8,43,1,0,40,62,0.295,0.376,0.439,0.815
Andy LaRoche,Paw,51,182,23,48,15,0,7,25,1,1,18,24,0.264,0.338,0.462,0.8
Alex Hassan,Paw,94,311,38,80,13,0,7,46,1,1,55,69,0.257,0.378,0.367,0.745
Josh Kroeger,Paw,64,238,34,58,17,0,9,25,1,5,22,43,0.244,0.303,0.429,0.732
