GP,APG,3PA,FGM,TOV,FG%,FTA
32,2.3,3.9,4.1,1.7,0.437,2.4
35,0.6,2.3,2.2,1.0,0.413,2.8
35,4.5,0.9,4.0,1.9,0.429,5.1
32,1.4,4.7,5.7,1.9,0.414,3.0
31,0.8,1.1,3.4,1.9,0.453,2.7
32,2.9,4.7,3.7,2.7,0.354,3.5
35,5.0,1.4,2.3,2.1,0.491,2.7
35,1.0,0.1,4.8,2.2,0.533,6.0
32,0.4,0.5,2.1,1.2,0.424,1.6
31,3.5,2.9,3.9,1.9,0.5,2.5
34,1.7,3.9,2.9,1.1,0.445,1.6
33,4.8,1.6,3.2,3.0,0.422,5.4
32,0.5,0.0,3.0,1.6,0.455,2.9
29,0.3,0.0,2.7,0.7,0.626,1.5
32,3.0,2.8,3.4,1.2,0.414,1.6
31,0.7,1.1,1.7,1.4,0.394,1.2
35,1.8,2.8,1.7,0.9,0.417,1.1
34,0.4,2.5,2.0,0.4,0.496,1.2
34,1.1,0.0,2.2,1.5,0.5,3.4
28,0.5,0.0,3.0,1.0,0.567,4.1
32,1.1,1.0,5.0,2.1,0.542,3.5
32,1.9,3.1,2.1,1.1,0.338,1.5
32,3.3,3.7,4.7,1.9,0.568,2.7
31,2.6,0.1,5.1,2.0,0.482,3.9
32,0.4,0.0,1.2,1.3,0.678,1.9
33,0.2,0.0,3.2,1.6,0.46,2.5
26,1.5,2.9,1.9,1.6,0.327,1.8
31,1.3,3.5,2.6,1.5,0.403,1.2
33,2.7,3.4,2.5,1.8,0.381,3.2
30,0.9,2.7,3.5,1.8,0.395,2.2
27,0.5,2.3,4.6,1.1,0.479,2.8
34,1.3,4.5,2.5,1.1,0.371,1.2
35,0.4,4.6,2.1,0.4,0.418,0.5
33,1.6,1.3,2.9,1.7,0.419,2.7
29,1.4,0.3,1.6,0.8,0.484,2.4
35,1.5,4.1,3.3,0.6,0.467,1.0
32,5.4,1.4,1.5,1.9,0.356,1.2
34,2.4,2.3,1.5,1.2,0.345,1.3
34,1.1,0.3,3.5,1.1,0.652,3.7
33,1.6,3.4,5.8,2.5,0.436,6.3
31,2.5,1.1,1.5,2.0,0.341,2.2
33,1.7,2.9,4.4,1.5,0.384,3.0
