SB,SH,G,AB,Team,SF,SLG
1,0,7,26,MB,0,.385
0,0,1,0,POT,0,--
0,3,26,73,WIL,0,.164
14,10,68,219,WIL,1,.279
1,2,26,84,WIL,0,.357
10,5,122,436,MB,3,.404
0,0,5,16,POT,0,.563
0,0,14,53,FRE,0,.245
1,1,15,45,WS,0,.356
2,0,41,124,SAL,0,.452
22,5,49,211,WS,1,.360
16,0,107,361,POT,3,.388
1,1,39,153,CAR,4,.366
0,0,3,11,MB,0,.182
2,0,62,216,SAL,4,.333
15,0,63,214,SAL,0,.547
0,0,6,19,WIL,0,.158
10,1,87,302,WS,2,.391
0,0,0,0,WS,0,--
3,0,38,124,WS,2,.274
1,1,23,82,CAR,0,.256
3,5,43,147,CAR,3,.238
0,1,73,241,CAR,3,.419
0,3,24,84,LYN,0,.226
10,1,41,131,FRE,0,.397
2,2,29,95,MB,1,.368
0,0,2,3,FRE,0,.000
3,0,30,110,POT,1,.464
5,1,59,191,POT,2,.335
1,1,19,59,SAL,0,.220
18,2,134,518,CAR,2,.400
0,0,75,285,FRE,2,.439
0,0,53,185,CAR,5,.346
1,1,20,71,CAR,0,.380
20,1,51,185,SAL,1,.551
0,0,4,17,FRE,0,.294
19,2,97,364,FRE,0,.313
0,0,1,2,FRE,0,.000
5,0,39,130,WIL,0,.338
15,2,103,323,POT,2,.341
0,0,1,3,POT,0,.000
0,0,12,41,CAR,0,.366
10,1,107,413,CAR,6,.513
6,0,65,229,SAL,1,.424
0,0,1,1,POT,0,.000
2,0,39,132,WIL,2,.394
10,1,135,506,MB,8,.385
5,3,72,272,MB,3,.390
20,6,83,327,CAR,3,.410
14,2,37,108,CAR,0,.259
1,0,17,48,WIL,0,.271
15,0,73,254,POT,5,.484
23,0,87,323,WIL,2,.424
27,5,97,383,MB,5,.360
3,1,65,221,FRE,0,.421
0,0,1,1,POT,0,.000
37,4,131,525,LYN,1,.362
11,3,59,218,WS,2,.404
1,0,10,25,LYN,0,.080
2,1,40,127,WIL,1,.268
1,1,71,234,LYN,1,.483
6,8,85,288,WIL,0,.271
54,6,91,330,POT,2,.391
0,0,3,10,LYN,0,.200
0,0,1,0,FRE,0,--
10,0,81,291,SAL,3,.440
3,0,61,221,LYN,2,.371
8,3,100,365,FRE,5,.293
4,2,101,384,WS,3,.464
7,5,123,438,LYN,4,.406
1,1,10,35,CAR,0,.200
11,0,48,195,SAL,4,.513
2,1,38,127,MB,2,.315
0,0,12,37,FRE,0,.162
0,0,1,0,SAL,0,--
0,0,6,18,POT,0,.944
27,11,124,478,WIL,1,.301
4,0,12,41,WS,0,.293
3,1,34,113,CAR,1,.398
8,1,120,455,FRE,1,.349
2,0,71,254,WIL,3,.469
0,3,51,131,LYN,1,.176
3,0,75,267,SAL,3,.476
19,5,112,372,MB,6,.296
1,1,55,185,WS,1,.281
