Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Travis Shaw,Por,233,28,61,15,4,10,10,5,2,28,53,0.262,0.346,0.489,0.835
Xander Bogaerts,Por,127,24,43,8,3,3,3,4,1,21,32,0.339,0.436,0.52,0.956
Tony Thomas,Por,207,23,40,8,3,5,5,11,1,14,61,0.193,0.258,0.333,0.591
Garin Cecchini,Por,122,15,39,7,2,1,1,5,2,25,21,0.32,0.439,0.434,0.874
Michael Almanzar,Por,263,42,67,16,2,10,10,9,1,23,54,0.255,0.324,0.445,0.769
Brandon Jacobs,Por,7,2,3,1,1,0,0,0,0,0,1,0.429,0.429,0.857,1.286
Matty Johnson,Por,52,6,18,1,1,0,0,5,6,3,8,0.346,0.393,0.404,0.797
Christian Vazquez,Por,190,29,53,12,1,2,2,5,3,31,23,0.279,0.383,0.384,0.767
Peter Hissey,Por,154,20,37,9,1,3,3,13,2,13,38,0.24,0.304,0.37,0.674
Derrik Gibson,Por,156,22,38,8,1,2,2,8,2,15,32,0.244,0.314,0.346,0.66
Shannon Wilkerson,Por,304,46,69,18,1,4,4,18,10,26,59,0.227,0.294,0.332,0.627
David Ross,Por,2,2,1,1,0,0,0,0,0,1,1,0.5,0.667,1.0,1.667
Stephen Drew,Por,10,1,3,1,0,1,1,0,0,0,3,0.3,0.3,0.7,1.0
Nick Natoli,Por,10,2,4,0,0,0,0,1,0,0,3,0.4,0.4,0.4,0.8
J.C. Linares,Por,141,22,40,11,0,3,3,0,0,12,26,0.284,0.361,0.426,0.786
Matt Spring,Por,104,10,21,5,0,5,5,0,0,5,36,0.202,0.252,0.394,0.646
Heiker Meneses,Por,183,29,44,9,0,2,2,9,5,11,47,0.24,0.298,0.322,0.62
Kolbrin Vitek,Por,109,7,24,6,0,0,0,3,3,10,34,0.22,0.286,0.275,0.561
Ryan Dent,Por,102,11,22,3,0,1,1,5,1,4,22,0.216,0.252,0.275,0.527
Ronald Bermudez,Por,36,6,8,0,0,0,0,1,1,3,9,0.222,0.282,0.222,0.504
Deven Marrero,Por,38,6,7,0,0,0,0,5,0,4,6,0.184,0.262,0.184,0.446
Kevin Heller,Por,9,0,1,0,0,0,0,1,0,2,3,0.111,0.273,0.111,0.384
Alberto Rosario,Por,20,1,1,0,0,0,0,0,0,2,4,0.05,0.136,0.05,0.186
Leonel Escobar,Por,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
