BB,GIDP,SB
17,3,9
15,2,0
24,8,3
0,0,0
5,2,3
24,5,19
6,2,0
13,2,1
30,4,4
1,2,0
6,4,2
7,7,1
21,5,15
13,3,3
25,7,13
25,3,4
3,0,1
7,0,3
21,6,4
18,6,3
17,4,5
9,7,1
14,2,5
20,7,0
41,2,10
18,6,3
14,1,5
13,3,12
23,3,3
9,1,2
17,4,8
0,0,1
40,3,10
10,1,0
14,2,7
4,4,3
12,7,3
10,0,3
20,2,2
27,6,5
14,5,1
24,3,4
28,8,15
19,1,16
7,2,0
0,0,0
18,3,4
1,1,0
20,9,8
4,1,1
10,1,0
11,4,6
17,8,3
21,3,3
15,5,3
6,1,3
13,0,4
4,0,0
18,1,4
13,1,4
14,0,5
20,1,6
12,0,1
36,0,12
12,3,0
28,2,1
6,0,4
10,2,0
24,6,1
11,1,0
16,2,0
14,0,5
35,7,8
4,3,0
14,2,1
