Name,Pos,Location,Ht,Wt,40,Stars,Rivals Rating,Committed,Videos,Visit Date,Recruited By
Donta Abron 2 stars,RB,"Upland, CAUpland","5'9""",187,0.0,2 stars,5.4,12/12/2011,1 video,12/09/2011,"Eric Bieniemy, Kanavis McGhee"
Kenneth Crawley 4 stars,DB,"Washington, District of ColumbiaH. D. Woodson","6'1""",170,0.0,4 stars,5.8,01/23/2012,8 videos,12/02/2011,Greg Brown
Terrence Crowder 2 stars,RB,"Galena Park, TXGalena Park","5'10""",212,4.48,2 stars,5.2,06/13/2011,1 video,12/09/2011,"Eric Bieniemy, Steve Marshall"
Shane Dillon 3 stars,QB,"El Cajon, CAChristian","6'5""",185,4.6,3 stars,5.7,05/12/2011,6 videos,01/20/2012,Rip Scherer
Jeffrey Hall 3 stars,DB,"LaPlace, LASt. Charles Catholic","5'11""",180,0.0,3 stars,5.5,01/29/2012, ,01/13/2012,Eric Bieniemy
Tyler Henington 3 stars,DT,"Denver, COMullen","6'3""",265,0.0,3 stars,5.6,03/24/2011,2 videos,12/02/2011,"Mike Tuiasosopo, Greg Brown"
Vincent Hobbs 3 stars,TE,"Mesquite, TXHorn","6'3""",230,4.65,3 stars,5.6,01/29/2012,1 video,01/27/2012,Bobby Kennedy
Jeromy Irwin 3 stars,OL,"Cypress, TXCy-Fair","6'5""",289,0.0,3 stars,5.6,08/28/2011, ,09/30/2011,Kanavis McGhee
Sean Irwin 3 stars,TE,"Cypress, TXCy-Fair","6'4""",220,0.0,3 stars,5.5,08/28/2011, ,09/30/2011,Kanavis McGhee
Kisima Jagne 3 stars,DE,"Chandler, AZChandler","6'5""",235,4.5,3 stars,5.7,12/09/2011,1 video,11/11/2011,Greg Brown
Samson Kafovalu 3 stars,DE,"Riverside, CAArlington","6'3""",253,0.0,3 stars,5.5,12/16/2011,1 video,10/21/2011,"Brian Cabral, Mike Tuiasosopo"
Gerrad Kough 2 stars,OL,"Pomona, CAPomona","6'5""",270,0.0,2 stars,5.4,07/01/2011,1 video,12/02/2011,Eric Bieniemy
Marques Mosley 3 stars,ATH,"Upland, CAUpland","6'1""",174,0.0,3 stars,5.5,12/20/2011,3 videos,12/09/2011,Eric Bieniemy
Clay Norgard 3 stars,RB,"Highlands Ranch, COMountain Vista","6'2""",240,4.8,3 stars,5.6,02/17/2011,3 videos,12/02/2011,J.D. Brookhart
Davien Payne 3 stars,RB,"Perris, CACitrus Hill","5'11""",213,4.6,3 stars,5.6,08/09/2011,2 videos,01/13/2012,Eric Bieniemy
Christian Powell 3 stars,ATH,"Upland, CAUpland","5'11""",250,0.0,3 stars,5.6,01/31/2012,2 videos,12/09/2011,Eric Bieniemy
Kory Rasmussen 2 stars,DT,"Honolulu, HIKamehameha School","6'3""",255,0.0,2 stars,5.4,12/19/2011,1 video,11/11/2011,"Brian Cabral, Mike Tuiasosopo"
Austin Ray 3 stars,TE,"Columbia, MORock Bridge","6'6""",235,0.0,3 stars,5.5,11/22/2011,1 video,11/11/2011,J.D. Brookhart
Justin Solis 3 stars,DT,"Westlake Village, CAWestlake","6'3""",287,4.9,3 stars,5.6,07/13/2011,1 video,09/09/2011,Steve Marshall
John Stuart 2 stars,DE,"Westlake Village, CAWestlake","6'4""",230,4.7,2 stars,5.4,12/05/2011,1 video,09/09/2011,Steve Marshall
Gerald Thomas 3 stars,WR,"The Colony, TXThe Colony","5'10""",170,4.37,3 stars,5.5,07/05/2011,1 video,12/02/2011,Bobby Kennedy
Jeffrey Thomas 3 stars,WR,"Duncanville, TXDuncanville","6'3""",180,4.66,3 stars,5.6,06/18/2011,4 videos,12/02/2011,Bobby Kennedy
Josh Tupou 3 stars,DT,"Buena Park, CABuena Park","6'4""",302,0.0,3 stars,5.5,12/11/2011, ,12/09/2011,"Brian Cabral, Mike Tuiasosopo"
John Walker 3 stars,DB,"Washington, District of ColumbiaH. D. Woodson","6'0""",175,0.0,3 stars,5.5,01/12/2012,1 video,01/20/2012,Greg Brown
Peyton Williams 3 stars,WR,"Southlake, TXCarroll","6'1""",185,4.5,3 stars,5.6,07/13/2011, ,01/20/2012,Bobby Kennedy
De'Jon Wilson 3 stars,DE,"Washington, District of ColumbiaH. D. Woodson","6'3""",240,4.68,3 stars,5.5,11/28/2011,3 videos,12/02/2011,Kanavis McGhee
Yuri Wright 4 stars,DB,"Ramsey, NJDon Bosco Prep","6'2""",180,0.0,4 stars,5.9,01/24/2012,10 videos,12/09/2011,Greg Brown
