OBP,R,SB,POS,H
0.288,42,19,SS,79
0.286,2,0,2B,2
0.284,26,4,2B,58
0.322,51,3,2B,83
0.327,14,1,2B,36
0.331,56,22,2B,109
0.359,27,7,2B,77
0.1,1,1,2B,0
0.311,21,10,2B,52
0.28,29,6,SS,62
0.455,0,0,SS,3
0.388,27,5,2B,61
0.352,48,15,2B,98
0.189,12,1,SS,35
0.297,38,3,2B,79
0.0,0,0,2B,0
0.34,45,22,SS,108
0.388,73,40,SS,98
0.341,68,70,2B,141
0.303,5,4,SS,8
0.348,29,3,2B,55
0.256,11,5,2B,21
0.328,42,4,2B,77
0.294,38,11,SS,62
0.321,44,17,SS,53
0.267,19,4,SS,58
0.33,33,11,SS,76
0.36,37,3,2B,65
0.381,8,1,SS,23
0.156,3,0,2B,7
0.125,0,0,SS,1
0.297,38,18,2B,83
0.345,6,3,SS,5
0.303,9,6,SS,17
0.222,8,2,SS,12
0.291,9,2,2B,18
