Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Engel Beltre,GCL,34,125,20,26,3,3,5,13,6,3,12,44,0.208,0.31,0.4,0.71
Derwin Pinto,DSL,28,82,14,18,2,1,0,13,1,0,19,24,0.22,0.385,0.268,0.653
William Vazquez,LowGCL,33,86,10,19,4,2,0,12,0,0,12,20,0.221,0.333,0.314,0.647
Deshaun Brooks,Low,34,101,17,21,2,1,2,12,0,0,7,30,0.208,0.286,0.307,0.593
Luis Diaz,DSL,48,165,20,29,14,3,0,11,2,1,13,48,0.176,0.249,0.297,0.546
Jered Stanley,LowGCL,13,40,5,8,3,0,2,9,0,0,3,14,0.2,0.25,0.425,0.675
Emmanuel Solano,GCL,28,95,11,26,4,0,0,9,6,6,6,15,0.274,0.314,0.316,0.63
Christopher Turner,Lan,22,81,12,13,1,0,5,9,0,1,8,40,0.16,0.242,0.358,0.6
Maykol Sanchez,DSL,42,131,11,29,3,0,0,9,2,2,18,23,0.221,0.338,0.244,0.582
Pedro Gonzalez,DSL,39,123,17,27,3,2,0,9,1,2,13,29,0.22,0.304,0.276,0.581
Victor Serrano,GCL,34,123,13,32,6,0,0,9,11,5,1,22,0.26,0.268,0.309,0.577
Aaron Reza,GreLow,39,120,10,24,5,1,0,9,4,2,16,19,0.2,0.317,0.258,0.575
Chih-Hsiang Huang,GCL,34,116,11,24,8,0,0,9,1,1,10,27,0.207,0.273,0.276,0.549
Rafael Gil,GCL,25,75,8,15,3,0,2,8,1,0,2,18,0.2,0.277,0.32,0.597
Brett Lewis,Low,29,75,10,16,2,0,0,8,1,1,14,14,0.213,0.355,0.24,0.595
Jackvid Avila,DSL,24,87,7,18,6,0,0,8,2,1,4,19,0.207,0.281,0.276,0.557
Pedro Chourio,DSL,30,94,8,18,4,0,0,7,1,0,12,44,0.191,0.309,0.234,0.543
Luis Antonio Jimenez,Paw,25,81,4,12,2,0,1,7,1,0,9,21,0.148,0.231,0.21,0.441
Matthew Cooney,GreGCL,24,70,2,10,0,0,1,7,0,0,3,21,0.143,0.189,0.186,0.375
Dan Milano,Low,10,33,4,9,1,0,1,6,1,0,2,8,0.273,0.342,0.394,0.736
Chuck Jeroloman,Lan,17,58,9,9,4,1,1,6,0,0,5,22,0.155,0.246,0.31,0.556
German Reyes,DSL,31,82,13,10,2,0,2,6,1,2,14,33,0.122,0.247,0.22,0.467
Bobby Kielty,Paw,10,38,7,9,1,0,2,5,0,0,5,14,0.237,0.326,0.421,0.747
Ryan Dent,LowGCL,21,80,12,21,2,2,1,5,8,4,6,18,0.263,0.322,0.375,0.697
Marcial De La Nieve,DSL,13,29,6,5,2,0,0,5,1,0,5,6,0.172,0.314,0.241,0.556
