Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Keury De La Cruz,Sal,133,535,65,138,36,6,9,89,16,9,31,130,0.258,0.297,0.398,0.696
Michael Almanzar,Por,131,507,67,136,29,3,16,81,13,2,42,100,0.268,0.328,0.432,0.76
Aneury Tavarez,Gre,125,479,56,123,28,7,7,55,29,15,21,140,0.257,0.295,0.388,0.683
Tony Thomas,PawPor,123,478,58,109,29,9,11,71,18,2,36,130,0.228,0.29,0.395,0.686
Henry Ramos,Sal,129,469,69,118,27,7,12,55,11,12,55,100,0.252,0.33,0.416,0.745
Shannon Wilkerson,Por,124,465,76,110,23,6,4,37,24,14,53,101,0.237,0.318,0.338,0.655
Mookie Betts,SalGre,127,462,93,145,36,4,15,65,38,4,81,57,0.314,0.417,0.506,0.923
Garin Cecchini,PorSal,129,454,80,146,33,7,7,61,23,10,94,86,0.322,0.443,0.471,0.915
Xander Bogaerts,PawPor,116,444,72,132,23,6,15,67,7,4,63,95,0.297,0.388,0.477,0.865
Travis Shaw,Por,127,444,57,98,21,4,16,50,7,3,78,117,0.221,0.342,0.394,0.736
David Chester,SalGre,123,432,50,117,27,0,19,85,3,0,52,111,0.271,0.354,0.465,0.819
Jeremy Hazelbaker,Paw,121,428,62,110,13,2,11,54,37,7,36,131,0.257,0.313,0.374,0.687
Cody Koback,SalGre,115,413,50,104,16,4,0,39,16,6,35,74,0.252,0.326,0.31,0.636
Deven Marrero,PorSal,104,404,57,102,20,0,2,26,27,2,52,76,0.252,0.338,0.317,0.655
Jose Vinicio,Gre,107,391,44,75,14,4,1,26,21,9,12,108,0.192,0.225,0.256,0.481
Blake Swihart,Sal,103,376,45,112,29,7,2,42,7,7,41,63,0.298,0.366,0.428,0.794
Heiker Meneses,PawPor,110,376,46,95,15,5,3,36,13,8,25,96,0.253,0.312,0.343,0.655
Drew Sutton,Paw,102,359,55,88,22,1,2,48,4,2,58,78,0.245,0.348,0.329,0.676
Justin Henry,Paw,102,357,43,75,17,2,2,36,9,5,40,57,0.21,0.294,0.286,0.58
J.C. Linares,PawPor,95,346,50,92,27,2,8,52,0,0,31,84,0.266,0.344,0.425,0.768
Christian Vazquez,PawPor,97,345,48,99,19,1,5,48,7,4,48,44,0.287,0.375,0.391,0.766
Bryce Brentz,PawGCL,88,343,39,90,18,1,19,64,1,0,21,90,0.262,0.313,0.487,0.799
Nick Natoli,3 Teams,101,335,45,65,17,1,1,30,12,2,51,88,0.194,0.31,0.26,0.569
Jonathan Diaz,Paw,101,332,45,84,11,2,2,31,10,3,47,67,0.253,0.358,0.316,0.675
Jackie Bradley Jr.,Paw,80,320,57,88,26,3,10,35,7,9,41,75,0.275,0.374,0.469,0.842
