BLK%,STL%,G,TS%
0.0,0.0,26,.167
7.0,0.0,79,.500
2.7,0.0,4,.400
0.0,0.0,77,.000
5.0,0.0,58,.625
3.3,0.0,50,.600
0.0,0.0,75,1.017
0.0,1.1,62,.400
3.3,0.0,40,.347
6.2,0.0,28,.800
4.1,0.0,80,.500
0.0,4.3,9,.333
0.0,0.0,43,.375
0.0,1.3,29,.500
2.0,0.0,42,.000
0.0,0.0,60,.200
6.4,0.0,8,.000
0.0,1.6,18,.000
1.8,0.0,46,.615
0.0,1.8,47,.167
6.9,0.0,34,.143
2.9,0.0,22,.667
0.0,0.0,33,.333
0.0,0.0,35,.200
0.0,2.4,54,.375
0.0,2.0,68,.615
0.0,0.0,55,1.000
0.0,2.5,57,.667
2.0,0.0,53,.500
0.0,0.0,2, 
0.0,0.0,1,.000
0.0,1.7,51,.500
2.0,1.6,48,.521
0.0,0.0,36,.521
0.0,4.0,3,.500
2.4,0.0,15,.846
5.3,2.3,11,.500
7.4,0.0,14,.788
0.0,0.0,41,.727
3.8,3.1,78,.102
0.0,2.8,5,.000
