SF,3B,G
2,0,75
4,2,134
0,1,12
1,0,27
2,1,34
0,0,1
9,2,92
1,1,64
5,3,97
1,2,73
5,0,45
4,8,130
0,0,17
1,0,55
2,1,60
0,0,37
1,0,27
4,1,48
2,0,70
1,1,78
1,2,120
0,0,24
2,2,74
2,3,119
0,0,1
0,0,10
1,3,30
0,0,4
6,0,86
0,0,1
0,0,1
0,0,1
0,0,3
7,6,133
3,0,80
0,1,120
0,0,6
0,0,16
1,7,131
1,1,34
7,7,129
1,0,32
0,0,4
1,0,38
0,0,2
0,0,13
1,2,56
2,2,54
1,3,51
0,0,17
0,0,4
2,0,59
0,0,1
0,6,72
1,0,51
1,6,108
8,3,136
0,1,12
2,1,97
4,0,55
2,1,34
3,1,71
2,0,38
0,1,20
0,0,18
1,0,68
3,3,101
4,0,53
3,0,58
0,0,9
0,1,26
6,4,127
0,0,21
2,2,65
0,0,1
0,0,6
0,0,2
3,6,83
0,0,6
0,0,1
1,3,65
3,1,74
2,0,15
2,3,103
0,2,119
4,1,74
4,5,39
0,0,5
0,0,10
2,2,60
3,6,132
0,1,26
0,1,16
0,0,1
3,3,72
2,0,61
0,0,2
0,0,3
2,2,87
0,0,6
0,0,20
0,0,1
0,0,10
2,2,84
1,1,53
0,0,4
6,3,112
0,0,1
0,0,1
0,0,65
4,3,103
1,4,49
7,6,133
3,0,43
0,1,15
0,0,3
