Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Alex Hassan,PawGre,101,19,40,11,0,1,20,0,1,24,21,0.396,0.512,0.535,1.046
Garin Cecchini,PorSal,202,57,71,18,3,4,36,18,4,51,36,0.351,0.486,0.53,1.016
Drew Turocy,Gre,107,25,46,15,5,0,14,2,1,10,17,0.43,0.483,0.664,1.147
Mookie Betts,SalGre,230,60,88,24,3,9,47,20,1,33,22,0.383,0.46,0.63,1.091
Christian Vazquez,PawPor,162,38,58,15,1,5,27,5,1,29,17,0.358,0.456,0.556,1.012
Mitch Maier,Paw,70,24,20,2,0,3,18,3,0,21,18,0.286,0.451,0.443,0.893
Wendell Rijo,GCL,100,20,36,11,0,0,17,10,4,11,14,0.36,0.449,0.47,0.919
Mike Miller,Gre,16,4,6,3,0,0,0,0,0,2,2,0.375,0.444,0.563,1.007
Bryan Hudson,GCL,85,12,28,4,0,0,8,4,1,17,22,0.329,0.441,0.376,0.818
David Chester,SalGre,190,33,69,19,0,13,60,3,0,25,36,0.363,0.437,0.668,1.105
Forrestt Allday,Low,80,18,20,5,0,0,8,1,2,20,16,0.25,0.429,0.313,0.741
Quintin Berry,Paw,5,1,1,0,0,0,0,2,0,1,2,0.2,0.429,0.2,0.629
Stefan Welch,Sal,168,41,53,13,0,8,32,1,2,28,37,0.315,0.427,0.536,0.963
Jayson Hernandez,Gre,77,5,27,2,0,1,12,0,1,4,12,0.351,0.419,0.416,0.834
Luis Alexander Basabe,DSL,141,43,34,12,2,1,18,13,2,39,34,0.241,0.418,0.376,0.794
Isaias Lucena,DSL,60,11,15,3,1,0,10,3,1,16,12,0.25,0.418,0.333,0.751
Will Middlebrooks,Paw,57,11,20,3,0,4,19,0,0,7,9,0.351,0.415,0.614,1.029
Kevin Mager,GreLow,140,24,44,7,3,0,25,3,0,23,32,0.314,0.415,0.407,0.822
Anthony Amaya,DSL,14,1,4,1,0,0,2,3,0,2,4,0.286,0.412,0.357,0.769
Mario Martinez,Gre,129,21,49,7,0,5,40,0,1,4,35,0.38,0.409,0.55,0.959
Iseha Conklin,GCL,40,9,11,1,0,0,5,2,1,7,11,0.275,0.4,0.3,0.7
Jackie Bradley Jr.,Paw,209,46,63,21,3,7,26,4,4,26,51,0.301,0.398,0.531,0.929
Drew Sutton,Paw,201,37,63,15,1,2,43,4,2,29,41,0.313,0.396,0.428,0.824
Alberto Rosario,PawPor,57,11,18,1,0,1,5,0,0,5,10,0.316,0.394,0.386,0.78
Sean Coyle,3 Teams,122,30,38,10,0,13,27,2,0,17,36,0.311,0.392,0.713,1.105
