H,AVG,3B,G,2B,CS,SH,SB
104,.257,3,101,22,1,0,4
64,.258,0,75,15,0,4,4
0,--,0,23,0,0,0,0
0,.000,0,9,0,0,0,0
31,.196,0,46,5,3,2,3
3,.429,0,4,1,0,0,0
126,.288,3,112,19,11,11,5
1,.100,0,4,0,0,0,1
116,.298,1,103,15,1,2,0
76,.276,1,79,17,0,3,1
5,.135,0,14,2,0,1,0
34,.266,0,40,9,0,0,0
71,.267,3,86,15,1,0,0
0,--,0,1,0,0,0,0
62,.250,0,68,15,1,2,1
56,.207,0,84,12,0,3,0
111,.288,1,108,28,1,1,1
124,.266,11,132,30,9,13,23
80,.294,3,73,15,6,0,13
94,.254,1,111,31,1,2,1
0,--,0,2,0,0,0,0
92,.271,2,107,14,2,11,5
1,.059,0,9,1,0,1,0
45,.269,1,49,4,0,1,0
6,.300,0,13,1,0,8,0
41,.232,0,49,11,1,0,2
0,.000,0,4,0,0,1,0
1,.333,0,20,0,0,1,0
78,.257,2,92,13,1,3,1
33,.308,0,30,5,0,0,1
143,.278,3,134,19,2,5,21
60,.260,0,72,11,2,1,1
0,.000,0,5,0,0,0,0
1,.167,0,14,0,0,0,0
0,--,0,2,0,0,0,0
0,--,0,7,0,0,0,0
1,.077,0,10,1,0,2,0
41,.204,0,58,12,1,0,0
73,.221,3,106,10,8,12,20
0,.000,0,2,0,0,0,0
76,.277,3,80,12,4,5,5
54,.244,2,65,17,2,4,10
0,--,0,3,0,0,0,0
0,--,0,1,0,0,0,0
0,--,0,20,0,0,0,0
18,.250,1,28,4,0,0,0
79,.227,9,99,18,3,9,11
1,1.000,0,10,0,0,0,0
82,.298,0,79,23,4,0,4
4,.160,0,8,0,0,0,0
0,.000,0,1,0,0,0,0
46,.213,0,68,8,0,1,1
0,.000,0,1,0,0,0,0
131,.267,2,120,39,3,0,4
0,.000,0,16,0,0,1,0
3,.250,0,13,1,0,0,0
83,.336,1,69,13,3,2,11
98,.268,1,92,15,9,4,36
0,--,0,1,0,0,2,0
75,.300,0,66,13,0,3,0
71,.222,0,91,8,2,3,0
0,.000,0,2,0,0,0,0
93,.291,1,91,16,5,7,14
0,--,0,14,0,0,0,0
0,--,0,8,0,0,0,0
0,--,0,1,0,0,0,0
16,.242,0,28,4,0,0,2
25,.263,0,25,4,0,0,0
87,.241,0,101,22,1,1,1
70,.345,0,61,16,1,5,3
2,.286,0,6,0,0,2,0
126,.294,1,124,24,2,0,4
3,.600,0,2,1,0,0,0
41,.289,0,37,13,0,0,0
0,--,0,2,0,0,0,0
0,.000,0,15,0,0,0,0
96,.274,0,109,16,0,1,0
19,.209,1,24,4,1,0,2
71,.303,0,64,17,0,1,4
50,.263,0,61,11,0,0,0
0,--,0,1,0,0,0,0
4,.167,0,7,0,0,1,0
16,.219,0,26,1,0,0,0
129,.254,2,136,31,8,2,15
5,.161,0,11,1,0,0,0
1,.250,0,11,0,0,0,0
38,.349,0,30,5,0,0,0
68,.275,0,71,12,1,0,0
16,.254,2,16,1,3,0,6
6,.316,0,11,1,0,2,0
100,.256,1,124,27,2,2,5
144,.305,6,127,32,11,12,21
59,.267,0,58,14,0,0,1
0,--,0,4,0,0,0,0
1,.500,0,19,1,0,0,0
5,.313,0,5,0,0,0,1
94,.266,4,104,21,4,0,10
11,.297,0,11,1,0,0,0
2,.091,0,10,0,0,0,0
115,.242,6,131,12,9,11,15
6,.261,0,11,1,0,0,0
6,.167,0,15,1,0,0,0
9,.155,0,15,4,0,0,1
68,.251,2,70,13,2,2,8
32,.242,1,37,2,5,1,5
114,.243,5,131,25,1,12,8
