DRB%,AST%,TOV%,STL%,MP,Opp,ORtg,GmSc,Date
0.0,0.0,34.7,26.4,2:00,LAC,82,1.3,1986-02-25
0.0,100.0,0.0,0.0,1:00,IND,143,1.3,1985-11-30
0.0,46.2,0.0,0.0,4:00,NYK,201,2.0,1985-11-07
0.0,24.7,25.0,0.0,11:00,ATL,108,3.1,1986-03-22
12.3,21.0,20.0,3.0,17:00,IND,116,5.7,1986-01-24
64.9,0.0, ,0.0,4:00,DET, ,0.2,1986-03-29
0.0,16.7,0.0,5.7,8:00,POR,17,-0.9,1986-01-10
18.5,0.0,0.0,0.0,5:00,CLE,54,-1.3,1986-01-07
15.4,45.7,17.2,3.6,13:00,WSB,118,11.0,1986-03-02
13.3,31.6,0.0,6.1,8:00,IND,82,2.0,1986-02-12
0.0,20.4,100.0,0.0,5:00,CHI,37,-1.1,1985-11-15
0.0,0.0, ,0.0,1:00,BOS, ,0.0,1985-10-30
0.0,18.0,25.8,7.0,14:00,IND,52,1.2,1986-03-14
0.0,26.4,0.0,6.4,7:00,DAL,33,-0.4,1985-12-21
30.3,44.0,0.0,0.0,14:00,BOS,140,7.8,1986-04-08
9.1,0.0,13.4,0.0,11:00,CHI,127,6.0,1985-11-12
0.0,24.1,34.2,0.0,13:00,SAC,108,6.3,1985-11-21
0.0,35.6, ,15.6,3:00,DET,207,1.7,1986-04-04
43.2,84.2,66.7,0.0,3:00,ATL,31,-1.0,1985-12-06
0.0,0.0, ,0.0,1:00,LAL, ,0.0,1985-12-18
10.0,10.2,0.0,0.0,10:00,GSW,142,0.8,1986-01-30
17.2,29.8,0.0,0.0,13:00,PHI,150,9.6,1986-03-07
