SLG,G,Team,CS,2B,SF,OBP,AB
0.516,157,CWS,6,37,5,0.334,605
0.395,128,MIN,6,38,1,0.342,516
0.35,77,MIN,3,3,1,0.328,163
0.41,131,CWS,12,29,1,0.349,524
0.242,26,MIN,0,1,1,0.246,66
0.487,88,DET,1,18,2,0.37,314
0.627,16,BAL,0,6,0,0.333,67
0.444,147,CWS,2,18,4,0.3,505
0.305,20,KC,0,2,1,0.292,59
0.333,8,LAA,0,3,1,0.259,24
0.284,50,CWS,1,1,2,0.28,67
0.322,102,KC,5,8,3,0.328,292
0.527,92,TOR,2,14,4,0.358,332
0.5,3,NYY,0,0,0,0.5,2
0.471,104,BAL,1,28,5,0.363,420
0.319,23,DET,2,0,0,0.373,47
0.479,147,TEX,5,29,4,0.38,457
0.274,102,CLE,2,6,3,0.25,190
0.39,88,BOS,0,21,2,0.352,267
0.398,26,CLE,0,3,0,0.299,93
0.402,51,TB,1,10,2,0.282,107
0.357,17,SEA,0,2,0,0.193,56
0.247,72,CLE,3,4,0,0.245,97
0.278,64,BAL,2,6,0,0.236,158
0.403,77,LAA,1,9,2,0.279,243
0.396,40,BAL,1,4,2,0.315,96
0.25,18,CLE,0,1,1,0.133,28
0.402,149,CLE,9,37,4,0.348,552
0.217,21,LAA,0,1,0,0.24,23
0.463,156,OAK,1,29,4,0.305,611
0.0,2,BAL,0,0,0,0.0,1
0.056,7,MIN,0,0,0,0.105,18
0.505,129,OAK,4,25,3,0.356,487
0.429,124,TB,3,18,1,0.341,399
0.42,125,OAK,2,23,3,0.333,383
0.441,155,CLE,7,43,1,0.373,598
0.323,30,KC,4,2,0,0.303,62
0.0,2,LAA,0,0,0,0.0,1
0.42,40,SEA,1,10,1,0.309,150
0.387,16,NYY,2,2,0,0.417,31
0.091,23,TB,2,0,0,0.167,22
0.317,38,OAK,4,2,1,0.336,104
0.556,10,TOR,0,2,1,0.3,36
0.451,140,LAA,1,24,3,0.365,534
0.328,153,SEA,3,22,1,0.294,607
0.25,9,BOS,0,0,0,0.25,12
0.34,32,BAL,3,6,0,0.305,94
0.374,49,TOR,0,4,0,0.274,147
0.352,25,BAL,0,3,0,0.256,71
0.352,42,NYY,1,7,1,0.297,88
0.315,101,LAA,1,7,3,0.291,168
0.556,7,BAL,0,0,0,0.5,9
0.219,15,MIN,0,0,1,0.297,32
0.25,10,TB,0,0,0,0.182,20
0.341,59,SEA,0,6,1,0.312,164
0.19,6,OAK,0,1,0,0.143,21
0.39,162,NYY,7,28,5,0.307,629
0.352,63,BOS,2,7,2,0.322,199
0.435,55,BAL,1,12,1,0.342,209
0.524,145,MIN,2,30,6,0.366,519
0.388,132,TB,2,19,1,0.314,505
0.271,66,SEA,1,5,2,0.262,166
0.32,34,BOS,2,2,2,0.286,100
0.286,15,MIN,0,1,0,0.172,28
0.479,137,DET,9,29,3,0.377,543
