SF,Team,CS,2B,SB
3,IE,4,10,7
0,MOD,2,5,2
0,SJ,0,2,4
3,LAN,7,19,28
2,RC,7,11,13
2,HD,0,12,4
1,MOD,4,39,7
0,HD,0,0,0
3,BAK,9,21,36
0,HD,3,2,1
0,STK,0,0,0
0,HD,0,0,0
0,HD,0,1,3
0,STK,0,0,0
5,RC,3,23,9
1,RC,3,6,2
0,LE,0,1,0
0,LAN,0,0,0
0,BAK,2,10,4
0,HD,0,6,0
4,RC,2,18,2
3,BAK,8,12,8
1,HD,0,6,0
1,IE,3,14,4
3,LAN,6,7,20
2,LE,0,10,0
2,MOD,3,23,4
0,LE,0,1,1
0,BAK,0,0,0
2,BAK,2,5,1
0,STK,0,0,0
0,SJ,0,5,0
6,BAK,14,17,52
0,LAN,0,0,0
2,BAK,10,15,37
0,STK,0,0,0
0,LAN,3,16,1
2,IE,8,7,14
0,LE,1,2,12
0,LAN,0,0,0
2,IE,7,17,1
0,HD,0,3,1
2,STK,0,5,2
4,MOD,7,17,24
2,LE,1,10,3
4,SJ,19,34,53
0,IE,0,1,0
7,HD,1,22,2
0,IE,0,0,0
0,IE,0,0,0
5,IE,4,18,4
1,RC,1,7,2
0,IE,0,0,0
0,VIS,0,0,0
2,MOD,2,11,0
3,LE,2,1,3
8,VIS,1,39,0
0,RC,0,2,0
3,LAN,0,10,5
3,STK,3,14,2
2,LAN,0,1,3
0,SJ,0,1,1
1,IE,0,1,1
2,IE,0,21,1
1,BAK,3,27,3
1,STK,1,2,0
1,MOD,2,7,11
3,LE,2,25,3
0,IE,0,1,0
7,HD,1,7,2
4,IE,1,9,0
6,SJ,0,16,6
0,HD,0,1,0
1,SJ,2,6,1
2,VIS,2,26,4
0,IE,0,2,0
1,LE,14,15,41
0,LE,0,0,2
5,HD,12,28,18
3,RC,0,8,3
0,SJ,0,0,0
4,BAK,0,18,4
4,STK,5,28,9
0,HD,0,0,0
1,HD,1,6,3
2,MOD,2,3,2
3,BAK,3,16,3
6,LE,1,24,1
0,STK,1,6,1
1,IE,6,9,18
4,HD,2,17,3
0,HD,0,0,0
0,MOD,1,0,0
3,VIS,4,7,4
0,RC,0,1,0
0,IE,0,0,1
1,HD,3,11,3
0,IE,0,1,0
1,LE,1,1,0
7,SJ,0,33,1
0,BAK,0,0,1
0,MOD,1,0,2
0,BAK,0,13,1
1,LE,0,2,0
0,LE,0,0,1
4,VIS,4,29,10
3,LAN,9,13,19
3,LAN,2,14,0
6,LAN,5,23,1
0,LE,1,1,1
0,HD,0,0,0
7,RC,11,21,13
0,STK,0,0,0
0,MOD,2,11,4
0,RC,0,7,2
1,STK,2,20,3
6,IE,12,29,26
3,STK,4,12,5
2,SJ,3,24,2
0,SJ,0,2,0
0,LAN,4,11,1
1,HD,3,16,16
0,BAK,0,1,1
0,RC,0,1,0
0,RC,0,2,0
0,VIS,0,15,5
5,RC,2,22,1
2,LAN,0,3,0
3,STK,10,29,27
0,RC,2,4,2
4,RC,2,16,3
1,HD,0,1,0
2,IE,0,17,1
3,RC,5,5,10
4,RC,2,24,3
0,SJ,0,0,0
1,IE,0,0,0
2,LE,0,1,1
