BLK%,AST%,MP,USG%
4.2,0.0,21:00,15.1
0.0,13.2,42:42,16.8
0.0,6.5,22:59,10.0
0.0,0.0,4:47,19.6
0.0,0.0,2:59,0.0
0.0,0.0,9:58,15.1
0.0,0.0,4:16,11.1
0.0,9.2,32:15,6.7
2.8,5.1,32:50,11.8
0.0,9.1,37:55,5.6
0.0,32.0,18:32,9.7
0.0,20.5,11:25,24.5
0.0,0.0,8:50,9.6
0.0,14.3,21:49,14.0
0.0,0.0,15:50,15.9
0.0,4.5,43:47,19.3
0.0,14.6,22:07,14.2
2.5,4.9,35:36,8.3
0.0,0.0,36:12,14.1
0.0,0.0,16:56,21.4
2.0,11.2,35:38,12.0
0.0,0.0,16:48,7.8
0.0,5.1,32:17,10.1
0.0,17.6,7:48,21.0
0.0,18.0,15:42,17.7
0.0,7.9,17:41,15.5
0.0,4.3,37:19,12.6
0.0,23.6,13:35,10.2
0.0,0.0,34:38,11.7
0.0,0.0,40:51,15.5
