GmSc,MP,USG%,GS,Opp,DRtg,Date
1.6,10:00,4.7,0,DET,101,1995-03-29
-0.8,6:00,38.3,0,CHI,118,1995-03-28
5.1,22:00,13.0,0,DEN,109,1995-03-23
2.3,15:00,9.4,0,ATL,123,1995-03-10
-3.1,8:00,22.2,0,BOS,123,1995-03-07
-1.1,3:00,30.3,0,IND,107,1995-04-04
5.3,15:00,13.0,0,PHI,92,1994-12-05
5.1,19:00,17.1,0,PHO,110,1994-12-16
7.3,16:00,11.6,0,SAC,91,1994-12-15
2.9,13:00,12.5,0,SAS,108,1994-11-12
-1.6,23:00,12.2,0,POR,113,1994-12-18
11.0,34:00,19.9,1,ATL,88,1994-11-19
1.4,8:00,5.6,0,WSB,90,1995-03-17
4.1,17:00,17.9,0,ORL,117,1994-12-02
-0.7,12:00,21.5,0,CLE,120,1994-12-22
3.1,13:00,8.1,0,MIA,126,1994-12-12
0.7,2:00,0.0,0,DET,123,1994-12-28
-2.2,9:00,11.0,0,SEA,117,1995-03-11
