Product,Price Difference,Number of Bikes,Installation,Rack Folds with,Easy to Use Score,Rack Locks to Hitch,Locks Bike to Rack,Anti-Rattle,Bike Frame Contact,Bike Compatibility Score,Bike Love Score
S63410,$252.00 current product,4,Wrench,Switch,6,No,"Yes, Cable",One-Way,Hangs by Frame,4,5
TH934XTR,$199.00 $53.00 less,4,Wrench,Pin,4,No,No,One-Way,Hangs by Frame,4,3
S63380,$171.00 $81.00 less,4,Wrench,Pin,4,No,No,One-Way,Hangs by Frame,4,3
TH9025,$399.95 $147.95 more,4,Tool Free,Switch,7.5,"Yes, Knob","Yes, Cable",Two-Way,Hangs by Frame,4,8
SR26247,$300.00 $48.00 more,4,Wrench,Switch,5,"Yes, Bolt",No,One-Way,Hangs by Frame,4,5
SR26248,$223.00 $29.00 less,4,Wrench,Pin,4,No,No,One-Way,Hangs by Frame,4,3
TH956,$199.95 $52.05 less,4,Wrench,Pin,4,No,No,One-Way,Hangs by Frame,4,3
63124,$125.95 $126.05 less,4,Wrench,Pin,3.5,No,No,One-Way,Hangs by Frame,3,2.5
Y02424,$197.10 $54.90 less,4,Wrench,Switch,6,No,No,One-Way,Hangs by Frame,4,3
S64665,$351.00 $99.00 more,4,Wrench,Pin,4,"Yes, Bolt","Yes, Cable",One-Way,"Wheel Supported, Frame Stabilized",5,8
59401,$159.95 $92.05 less,4,Wrench,Pin,4,No,"Yes, Cable",One-Way,Hangs by Frame,4,5
S64670,$213.30 $38.70 less,2,Wrench,Pin,5,No,No,One-Way,"Wheel Supported, Frame Stabilized",5,4
TH957,$199.95 $52.05 less,4,Wrench,Pin,4,No,No,One-Way,Hangs by Frame,4,3
TH9027,$499.95 $247.95 more,4,Tool Free,Switch,7.5,"Yes, Knob","Yes, Cable",Two-Way,Hangs by Frame,4,8
S63360,$144.00 $108.00 less,2,Wrench,Pin,5,No,No,One-Way,Hangs by Frame,4,3
S63400,$207.00 $45.00 less,2,Wrench,Switch,6,No,"Yes, Cable",One-Way,Hangs by Frame,4,5
TH990XT,$299.95 $47.95 more,2,Wrench,Switch,6,"Yes, Bolt","Yes, Cylinder",One-Way,"Wheel Supported, Frame Stabilized",5,8
SR26321,$368.59 $116.59 more,4,Wrench,Switch,5,"Yes, Bolt","Yes, Cable",One-Way,Hangs by Frame,4,7
S63365,$153.00 $99.00 less,3,Wrench,Pin,4,No,No,One-Way,Hangs by Frame,4,3
59403,$149.95 $102.05 less,3,Wrench,Pin,4,No,"Yes, Cable",One-Way,Hangs by Frame,4,5
