No,Attribute,Iryoku (Power Level),Where to Obtain,MND,ATK,Break,Grade
56,-,A,Craft it,20,1720,373,720.0
42,+40%,C,Craft it,0,650,221,480.0
46,+50%,B,Craft it,15,1250,280,520.0
2,-,B,Item Shop (200G),0,85,20,40.0
7,-,A,Item Shop (2.500G),0,165,48,80.0
44,-,B,Righteous Beheading (7.500TP),15,1100,260,500.0
8,-,C,Item Shop (5.000G),0,225,60, 
27,+50%,B,Craft it,0,455,153,320.0
9,+25%,B,Craft it,2,125,56,80.0
14,+50%,C,Item Shop (10.000G),0,285,68,120.0
48,-,C,Sargatanas Rare Drop,0,1080,239,540.0
23,+35%,B,Convert Reverse Katana,0,550,160,280.0
26,-,B,Righteous Beheading (4.500TP),0,665,180,350.0
58,-,C,Craft it,28,1881,417,417.0
29,+40%,B,Convert Brynhildr,0,650,180,320.0
43,-,B,Thor Rare Drop,0,1265,313, 
39,+50%,C,Craft it,0,510,204,440.0
57,-,B,Craft it,16,2257,392,740.0
45,-,A,Craft it,0,1100,313,480.0
13,+50%,B,Craft it,0,210,76,120.0
15,-,C,Item Shop (20.000G),0,320,108,200.0
35,+40%,A,Craft it,0,900,265,400.0
55,-,A,Craft it,0,1800,386,600.0
17,-,A,Righteous Beheading (1.500TP),0,460,144,225.0
54,+50%,A,Craft it,18,900,273,600.0
50,+50%,A,Craft it,0,1500,337,520.0
47,+50%,A,Item Shop (185.000G),0,1437,337,520.0
51,-,A,Craft it,0,1650,386,600.0
31,-,B,Item Shop (85.000G),12,750,220,400.0
