Year,Use,Land,JV Land,Building,Misc,Just Value,Deferred,Assessed,Exempt**,Taxable**,Taxes
2014,State(TIITF) Vacant/Xf,8000,8000,0,0,8000,0,8000,8000,0,0
2013,State(TIITF) Vacant/Xf,8000,8000,0,0,8000,0,8000,8000,0,0
2012,State-Not TIITF,8000,8000,0,0,8000,0,8000,8000,0,0
2011,State-Not TIITF,8000,8000,0,0,8000,0,8000,8000,0,0
2010,State-Not TIITF,8000,8000,0,0,8000,0,8000,8000,0,0
2009,State-Not TIITF,8000,8000,0,0,8000,0,8000,8000,0,0
2008,State-Not TIITF,8000,8000,0,0,8000,0,8000,8000,0,0
2007,State-Not TIITF,8000,8000,0,0,8000,0,8000,8000,0,0
2006,State-Not TIITF,8000,8000,0,0,8000,0,8000,8000,0,0
2005,State-Not TIITF,8000,8000,0,0,8000,0,8000,8000,0,0
2004,State-Not TIITF,8000,8000,0,0,8000,0,8000,8000,0,0
2003,State-Not TIITF,8000,8000,0,0,8000,0,8000,8000,0,0
2002,State-Not TIITF,8000,8000,0,0,8000,0,8000,8000,0,0
2001,Utility,8000,8000,0,0,8000,0,8000,8000,0,0
2000,Utility,8000,8000,0,0,8000,0,8000,8000,0,0
1999,Utility,8000,8000,0,0,8000,0,8000,8000,0,0
1998,Utility,8000,8000,0,0,8000,0,8000,8000,0,0
1997,Utility,8000,8000,0,0,8000,0,8000,8000,0,0
1996,Utility,4000,4000,0,0,4000,0,4000,4000,0,0
1995,Utility,4000,4000,0,0,4000,0,4000,4000,0,0
