A/60,IAP,IPP,iFenwick,iCorsi,Points/60,FirstA,G/60,Player Name,ShPct
A/60,IAP,IPP,iFenwick,iCorsi,Points/60,FirstA,G/60,Player Name,Sh%
3.45,46.3,56.1,151,257,4.17,21,0.73,"STREIT, MARK",7.62
2.80,47.2,54.7,103,174,3.24,9,0.45,"ROBIDAS, STEPHANE",5.97
2.72,39.8,56.8,191,287,3.88,17,1.16,"GIORDANO, MARK",11.72
3.13,40.5,47.7,270,401,3.69,21,0.56,"EHRHOFF, CHRISTIAN",4.49
2.69,42.3,54.6,240,368,3.48,19,0.79,"PHANEUF, DION",7.50
2.83,50.6,61.2,191,298,3.42,23,0.59,"GOLIGOSKI, ALEX",7.09
3.12,45.2,53.6,156,231,3.70,12,0.57,"VISNOVSKY, LUBOMIR",6.36
2.76,45.5,53.0,128,206,3.22,16,0.46,"BOUWMEESTER, JAY",5.26
1.75,35.3,49.0,145,207,2.43,10,0.68,"KULIKOV, DMITRY",7.22
2.68,38.6,51.5,193,299,3.57,17,0.89,"FOWLER, CAM",9.15
3.05,54.5,56.4,116,166,3.16,13,0.10,"KABERLE, TOMAS",1.32
3.44,45.4,52.1,198,302,3.95,30,0.51,"TIMONEN, KIMMO",6.01
3.30,46.9,53.1,175,275,3.73,27,0.44,"SUTER, RYAN",5.56
2.74,53.4,56.9,167,248,2.92,13,0.18,"TYUTIN, FEDOR",1.68
4.38,54.1,66.2,161,238,5.37,19,0.99,"LIDSTROM, NICKLAS",8.49
2.78,46.8,59.7,193,275,3.55,18,0.77,"CORVO, JOE",6.06
2.62,44.1,55.9,128,199,3.33,12,0.71,"LILES, JOHN-MICHAEL",7.45
2.42,38.1,47.6,193,261,3.03,12,0.61,"NISKANEN, MATT",4.80
2.28,41.5,56.6,121,189,3.11,10,0.83,"MYERS, TYLER",10.26
2.53,42.6,52.5,174,265,3.11,17,0.58,"JOHNSON, ERIK",4.51
2.51,46.8,53.2,114,188,2.86,16,0.35,"DEL_ZOTTO, MICHAEL",5.13
2.33,30.7,48.0,178,252,3.64,19,1.31,"GREEN, MIKE",10.48
3.31,54.9,64.6,184,295,3.90,19,0.59,"GONCHAR, SERGEI",6.35
