r,po,a,avg,cs,e,gdp,h,Date,2b
2,21,10,0.238,0,1,0,5,"Mar 7, 2009",0
2,21,11,0.25,0,1,0,6,"Feb 7, 2009",0
6,21,4,0.241,0,1,0,7,"Mar 6, 2009",0
6,21,6,0.312,0,0,0,10,"Feb 6, 2009",2
1,18,8,0.229,1,0,0,4,"Apr. 5, 2009",0
4,21,10,0.234,0,1,2,7,"Apr 23, 2009",0
0,21,14,0.24,1,2,0,1,"Mar 6, 2009",0
3,21,11,0.237,0,0,0,6,"May 9, 2009",1
3,24,9,0.23,1,0,0,7,"Apr. 8, 2009",1
4,24,13,0.233,0,3,0,9,"Mar 21, 2009",0
0,21,8,0.224,0,0,0,3,"Apr 15, 2009",1
3,21,5,0.233,0,0,0,7,"Apr 1, 2009",1
7,21,13,0.236,1,2,0,11,"May 7, 2009",1
3,21,10,0.259,0,3,0,8,"Feb. 7, 2009",1
2,28,8,0.229,1,0,0,4,"Apr. 4, 2009",0
6,21,18,0.238,0,2,0,10,"May 9, 2009",2
0,12,4,0.24,0,1,0,2,"Feb 14, 2009",0
2,27,15,0.233,0,0,0,6,"May 02, 2009",1
2,21,14,0.227,0,1,0,3,"Feb 20, 2009",1
2,21,12,0.229,0,1,0,3,"Mar 16, 2009",0
3,21,13,0.23,0,0,0,6,"Apr. 4, 2009",1
