GIDP,RBI,SH,H
2,21,0,26
5,15,1,28
2,20,0,22
1,25,0,61
0,0,0,0
3,15,1,50
0,3,0,7
1,25,0,44
6,19,2,55
2,17,1,34
1,5,0,17
0,18,0,35
2,21,0,33
4,14,3,43
3,24,0,34
2,15,2,51
8,25,3,66
9,32,0,80
3,3,0,7
0,7,0,19
3,21,0,43
8,32,0,53
1,7,0,24
2,9,1,34
5,17,1,34
2,34,0,46
0,4,1,11
0,1,0,3
3,1,0,8
9,33,1,56
7,9,1,24
1,2,0,13
4,47,0,64
0,12,0,16
3,34,2,65
1,23,1,50
2,8,2,21
2,21,0,43
5,12,3,41
2,2,0,18
1,1,1,3
2,6,1,25
2,29,3,46
0,5,1,6
3,8,0,16
3,10,0,33
2,8,3,32
7,17,3,43
2,28,0,38
0,0,0,0
4,44,0,64
7,41,1,76
5,42,0,68
0,8,0,23
1,9,2,23
4,36,0,45
7,27,1,36
2,0,0,6
0,2,1,3
4,17,0,37
