Rk,eFG%,DRB%,DRtg,TS%,Age
57,.500,14.0,111,.509,23-294
9,1.000,10.5,119,1.000,23-151
30,.000,0.0,107,.000,23-213
53,.300,13.8,107,.300,23-287
39,.000,35.4,87,.000,23-254
20,.300,10.0,113,.425,23-177
26, ,0.0,130, ,23-197
34, ,0.0,115, ,23-246
46,.400,13.8,106,.400,23-271
43,.500,48.9,88,.694,23-265
19, ,42.8,129, ,23-174
54,.722,17.3,109,.658,23-289
18,.250,0.0,104,.410,23-172
37,.333,10.5,89,.333,23-250
42,.000,19.6,106,.000,23-260
25,.250,7.1,104,.250,23-192
28, ,0.0,99, ,23-208
36,.333,0.0,96,.436,23-249
1, ,52.7,100, ,23-133
52,.250,0.0,113,.225,23-286
14, ,31.0,108, ,23-164
32,.500,48.8,94,.512,23-238
49,.000,0.0,101,.266,23-277
3,.556,14.6,125,.530,23-136
55,.600,17.5,120,.600,23-291
40,.000,31.9,99,.000,23-255
17,1.000,0.0,98,1.000,23-169
47, ,0.0,110, ,23-273
22,.667,36.1,123,.667,23-180
45, ,41.7,116, ,23-268
