Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Brad Correll,Lan,59,250,69,86,13,3,23,80,4,0,19,34,0.344,0.391,0.696,1.087
Steve Garrabrants,Lan,37,125,32,36,8,2,9,32,1,0,24,29,0.288,0.412,0.6,1.012
Ryan Kalish,Low,23,87,27,32,4,1,3,13,18,3,16,12,0.368,0.471,0.54,1.011
Bubba Bell,PorLan,110,469,118,158,32,3,26,105,14,4,62,56,0.337,0.42,0.584,1.004
Zachary Daeges,Lan,127,515,124,170,55,5,21,113,4,1,82,97,0.33,0.423,0.579,1.002
Aaron Bates,PorLan,125,464,105,142,30,2,28,101,0,1,86,112,0.306,0.435,0.56,0.995
Jon Still,LanGre,124,440,90,128,29,1,25,98,2,1,105,103,0.291,0.429,0.532,0.961
Ronald Bermudez,DSL,65,229,37,80,19,3,3,39,12,9,42,34,0.349,0.455,0.498,0.952
Mark Wagner,Lan,95,368,71,117,35,1,14,82,0,1,55,46,0.318,0.406,0.533,0.939
Paul Smyth,Gre,43,145,24,46,10,1,7,26,0,1,7,30,0.317,0.365,0.545,0.91
Tony Granadillo,PorLan,118,472,108,154,39,7,8,67,2,1,57,68,0.326,0.41,0.489,0.9
Jed Lowrie,PawPor,133,497,82,148,47,8,13,70,5,4,77,91,0.298,0.393,0.503,0.896
Mickey Hall,LanGre,106,346,74,97,24,9,11,50,2,2,63,99,0.28,0.392,0.497,0.889
Jorge Jimenez,Low,68,238,38,72,23,3,4,44,4,7,32,18,0.303,0.412,0.475,0.887
Josh Reddick,PorGre,95,370,60,113,17,6,18,72,8,5,26,51,0.305,0.351,0.53,0.881
Salvador Paniagua,PorLan,60,227,39,64,16,2,13,48,1,0,12,70,0.282,0.328,0.542,0.87
Ryan Khoury,Lan,98,380,82,114,29,1,11,69,3,1,49,78,0.3,0.385,0.468,0.854
Ricardo Burgos,GCL,42,138,27,37,8,0,7,23,1,0,23,39,0.268,0.372,0.478,0.85
Bobby Scales,Paw,122,432,64,127,28,8,11,57,14,3,50,94,0.294,0.373,0.472,0.845
Lars Anderson,LanGre,134,493,82,144,37,3,11,78,2,4,82,121,0.292,0.393,0.446,0.839
Roberto Feliz,DSL,64,240,35,73,13,1,7,55,6,6,23,50,0.304,0.381,0.454,0.836
Brandon Moss,Paw,133,493,66,139,41,2,16,78,3,5,61,148,0.282,0.363,0.471,0.834
Michael Jones,GreLow,67,238,32,76,11,3,2,26,1,0,38,48,0.319,0.412,0.416,0.828
Jacoby Ellsbury,PawPor,104,436,82,141,24,7,2,41,41,7,38,54,0.323,0.387,0.424,0.811
Scott White,Lan,117,465,79,119,29,1,21,98,4,3,56,103,0.256,0.347,0.458,0.805
