STL%,ORB%,DRtg,TRB%,Date
0.0,7.0,104,6.9,2000-01-03
0.0,0.0,108,5.3,2000-02-15
0.0,9.7,93,18.5,1999-11-04
4.0,18.5,107,8.3,1999-11-02
0.0,5.5,116,14.9,1999-12-03
0.0,0.0,93,52.9,2000-04-10
0.0,0.0,120,5.9,1999-11-06
0.0,0.0,108,0.0,2000-03-01
0.0,0.0,120,0.0,1999-12-18
0.0,14.8,118,7.5,1999-11-12
0.0,0.0,113,22.9,2000-02-27
0.0,17.0,104,9.4,2000-04-06
3.2,7.1,95,7.2,1999-12-10
6.9,0.0,93,9.1,2000-03-07
0.0,0.0,109,0.0,2000-04-12
0.0,16.7,111,7.1,1999-12-12
0.0,0.0,115,0.0,2000-01-29
3.4,12.8,106,14.6,1999-11-26
3.6,24.5,99,18.5,2000-01-05
0.0,0.0,94,10.4,2000-03-05
8.4,0.0,62,26.1,2000-01-15
1.8,12.2,102,17.1,2000-04-18
10.5,0.0,70,11.6,1999-12-22
0.0,0.0,112,12.0,2000-02-17
0.0,16.4,96,24.1,2000-01-06
