WAR,RAR,Rfield,Rbaser,dWAR,Acquired,Rbat
0.0,0,0,0,0.0,Free Agency,0
3.0,29,-5,1,-0.3,Amateur Draft,13
3.3,31,7,3,0.8,Traded,8
-0.9,-5,3,-4,0.6,Waivers,-24
0.5,5,1,1,-0.2,Free Agency,-3
-0.5,-3,-7,1,0.0,Traded,-20
0.0,0,0,0,0.0,Amateur Draft,0
0.1,1,0,0,0.0,Amateur Draft,0
0.0,0,0,-1,0.0,Free Agency,-7
0.0,0,0,0,-0.0,Free Agency,-1
0.1,1,0,0,0.0,Traded,-7
-0.1,-1,1,-0,0.1,Purchased,-4
0.0,0,0,0,0.0,Free Agency,0
0.0,0,0,-0,0.0,Free Agency,-8
4.6,45,-9,-5,-2.0,Amateur Draft,47
25.9,259,12,0,2.1, ,14
-0.0,-0,0,0,0.0,Amateur Draft,-0
-0.0,-0,0,0,0.0,Traded,-1
0.0,0,0,0,0.0,Free Agency,0
2.2,20,15,1,1.8,Traded,-5
-0.2,-2,0,-0,0.0,Free Agency,-2
0.0,0,0,0,0.0,Waivers,0
0.2,2,0,-0,0.0,Waivers,0
3.4,33,-1,-1,-0.7,Amateur Draft,24
1.3,12,6,1,0.8,Traded,0
7.8,75,3,4,-0.3,Amateur Draft,53
0.4,4,0,-0,0.0,Traded,-6
