OPS,3B,H,AB,OBP
0.904,2,152,407,.430
0.709,4,54,202,.348
0.333,0,0,2,.333
0.812,0,108,366,.356
0.933,1,117,375,.426
0.673,1,34,151,.322
0.823,1,68,236,.336
0.0,0,0,4,.000
0.734,1,72,235,.355
0.772,0,93,347,.340
0.519,0,14,63,.265
0.516,0,14,78,.247
0.437,0,5,27,.214
0.915,4,85,290,.391
0.742,1,98,390,.316
1.131,1,131,357,.498
0.364,0,2,11,.182
0.749,0,62,207,.401
0.67,0,63,224,.331
0.903,0,86,301,.381
0.756,1,66,260,.306
0.922,0,91,266,.399
1.5,0,1,2,.500
0.869,2,124,375,.389
0.912,3,123,357,.388
0.714,1,98,359,.338
0.835,0,88,288,.352
0.667,0,111,391,.324
0.7,0,3,10,.300
0.79,0,49,156,.361
0.705,0,2,8,.455
0.0,0,0,0,--
0.825,0,57,161,.371
1.056,0,24,70,.442
0.767,0,64,216,.328
0.668,0,30,136,.352
0.0,0,0,1,.000
0.909,0,42,127,.397
0.763,1,91,319,.381
0.5,0,1,4,.250
0.724,0,56,200,.324
0.607,1,23,95,.270
0.879,2,52,195,.356
0.782,6,112,374,.362
0.847,1,80,252,.394
0.792,5,134,416,.376
0.374,0,3,25,.214
0.636,0,59,235,.330
0.807,0,39,116,.350
0.489,0,1,8,.364
0.5,0,0,1,.500
0.585,0,11,44,.267
0.805,0,21,69,.355
0.63,2,56,220,.289
0.684,0,21,92,.336
0.76,1,76,302,.303
0.818,4,135,417,.360
0.618,0,41,166,.304
0.974,0,125,393,.409
0.985,3,104,335,.388
0.0,0,0,0,--
0.701,0,64,223,.329
0.784,1,91,313,.404
0.864,2,131,379,.400
0.774,0,18,55,.356
0.853,0,77,296,.346
0.659,1,14,57,.290
0.716,0,33,111,.355
0.736,0,17,60,.353
1.071,0,57,189,.410
0.834,0,32,111,.402
0.751,3,99,362,.334
0.64,2,19,87,.330
1.042,4,155,420,.406
0.83,1,47,164,.403
0.624,0,22,93,.333
0.0,0,0,0,--
0.928,0,45,133,.364
0.586,1,24,113,.302
0.597,0,41,176,.273
0.745,1,53,212,.348
0.764,1,21,82,.337
0.622,0,28,134,.279
0.845,0,57,176,.357
0.7,1,70,279,.313
0.388,0,2,15,.188
0.382,0,8,48,.216
0.608,1,37,143,.287
0.781,0,35,110,.353
0.578,0,8,33,.306
0.685,0,22,81,.352
1.209,1,106,273,.465
0.768,0,36,105,.397
0.722,0,26,84,.376
0.848,1,14,45,.404
0.698,0,14,54,.328
1.02,0,47,127,.453
0.783,3,93,320,.355
0.984,0,81,300,.368
0.837,1,93,331,.339
