OBP,OPS,GIDP,R,Player,BB
.354,.713,1,6,R Noland,4
.405,.961,2,7,N Papasan,1
.286,.571,1,1,F Bello,0
.265,.460,1,9,W Infante,8
--,--,0,0,P Roy,0
.384,.778,2,50,D De La Osa,37
.278,.650,2,14,M Kennelly,8
.360,.771,8,23,E Rosario,13
.306,.716,6,8,M Acosta,10
.288,.621,2,15,D Cruz,3
.167,.167,0,1,J Servidio,0
.411,.884,1,18,J Castillo,11
.261,.499,3,4,Y Reyes,2
.267,.600,0,2,R Lucas,3
.302,.529,3,4,D Heller,8
.235,.423,2,2,L Marchena,1
.314,.658,3,18,J Shaffer,9
.312,.653,2,12,L Mateo,3
.260,.478,2,15,G Soto,10
.350,.663,0,1,C Testa,4
.404,.779,0,4,S Perez,5
.286,.519,2,4,J Tarnow,8
.390,.780,4,27,C Doyle,22
.445,.832,5,17,B Lilley,16
.332,.731,3,41,R Fernandez,24
.345,.786,2,14,J Lanning,12
.312,.736,1,37,D Britton,12
.410,.839,4,23,A Cartwright,15
.360,.947,4,45,E Bigley,13
.350,.630,3,29,R Stevens,9
.295,.823,2,16,K Sams,11
.318,.485,1,1,L Sierra,4
.310,.625,0,11,P Pehrson,11
.310,.817,5,31,G Rodriguez,17
.266,.557,0,11,G Noriega,6
.257,.505,3,24,P Zapata,8
.372,.769,5,25,R Cardona,22
.259,.554,3,12,D Montas,10
.307,.632,3,32,J Aparicio,15
.316,.613,1,14,K Dubler,11
.320,.633,3,18,B Trinkler,18
.344,.964,2,23,A Soto,9
.341,.649,3,12,A Bonevacia,10
.308,.508,0,1,C Anderson,3
.289,.764,1,18,G Zavala,3
.301,.577,3,5,P Gonzalez,6
.352,.761,3,17,D Wood,15
.293,.613,2,12,D Jones,14
.363,.812,4,35,J Kendall,9
.347,.794,5,14,F Hernandez,8
.299,.622,7,19,J Hage,5
.426,.839,3,24,J Cawley,18
.382,.922,10,49,J Waltenbury,27
.615,1.615,0,3,J Satin,1
.407,.868,7,28,J Fuentes,28
.253,.556,2,10,K Miles,3
.344,.807,9,43,M Martinez,10
.295,.628,3,19,R Bonfante,6
.343,.680,2,10,M Rigoli,12
.238,.443,0,6,C Turner,2
.387,.918,1,14,N Metroka,11
.301,.647,0,18,M Elkerson,8
.413,1.036,0,33,A Morales,26
.292,.507,0,7,A Phillips,7
.381,.818,5,15,T Johnson,6
.111,.222,1,1,E Santiago,0
.357,.729,4,16,J Kateon,9
.340,.712,2,17,J Garber,7
.265,.586,2,31,J Silverio,8
