Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jacoby Ellsbury,PawPor,104,436,82,141,24,7,2,41,41,7,38,54,0.323,0.387,0.424,0.811
Scott White,Lan,117,465,79,119,29,1,21,98,4,3,56,103,0.256,0.347,0.458,0.805
Anthony Rizzo,GCL,6,21,6,6,0,0,1,3,0,0,1,2,0.286,0.375,0.429,0.804
Jeff Natale,Por,119,404,66,109,28,1,5,64,5,3,88,36,0.27,0.417,0.381,0.798
Darren Blocker,GCL,34,113,25,29,13,0,2,17,2,0,13,21,0.257,0.373,0.425,0.798
Reid Engel,Gre,112,411,60,120,20,6,9,49,13,4,38,78,0.292,0.361,0.436,0.796
Bryan Pritz,PawPor,106,372,50,107,22,3,7,49,5,1,41,58,0.288,0.356,0.419,0.775
Jeff Bailey,Paw,115,404,64,99,22,1,15,60,9,6,59,99,0.245,0.358,0.416,0.774
Matt Sheely,3 Teams,47,160,30,48,10,2,2,25,11,1,11,28,0.3,0.345,0.425,0.77
Dusty Brown,PawPor,77,281,44,73,18,2,9,46,0,0,30,74,0.26,0.334,0.434,0.769
David Murphy,Paw,100,400,50,112,20,5,9,47,8,1,41,68,0.28,0.347,0.423,0.769
Yamaico Navarro,Low,62,225,36,65,10,1,5,37,12,6,22,52,0.289,0.357,0.409,0.766
Andrew Pinckney,Por,125,458,72,121,28,4,14,64,4,7,41,100,0.264,0.327,0.434,0.761
Eric Crozier,Por,63,220,37,52,11,1,9,44,1,0,35,81,0.236,0.34,0.418,0.758
Zak Farkes,LanGre,64,236,42,57,9,0,14,43,1,0,17,59,0.242,0.298,0.458,0.756
Jeff Corsaletti,Por,123,462,93,123,21,3,6,58,20,7,83,87,0.266,0.385,0.364,0.749
Bobby Kielty,Paw,10,38,7,9,1,0,2,5,0,0,5,14,0.237,0.326,0.421,0.747
Luis Sumoza,GCL,53,190,21,48,17,4,3,31,2,1,17,58,0.253,0.316,0.432,0.747
Mitch Dening,GCL,47,176,21,53,8,1,1,18,11,6,19,26,0.301,0.372,0.375,0.747
Oscar Tejeda,LowGCL,67,267,37,79,18,3,1,33,10,3,21,53,0.296,0.345,0.397,0.742
Dan Milano,Low,10,33,4,9,1,0,1,6,1,0,2,8,0.273,0.342,0.394,0.736
Michael Tucker,Paw,72,237,28,53,16,0,6,26,1,2,49,64,0.224,0.362,0.367,0.729
Jay Johnson,PorLan,134,521,63,140,34,4,6,81,5,4,57,99,0.269,0.344,0.384,0.727
Juan Bonifacio,DSL,47,145,24,32,9,1,5,22,7,3,17,60,0.221,0.327,0.4,0.727
Iggy Suarez,PorLan,123,418,68,114,25,3,4,48,7,2,49,106,0.273,0.35,0.376,0.726
