Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
T Ritchie,TUL,P,.500,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,.500,.500,1.000
A Fultz,TUL,P,--,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--
K Wells,TUL,P,.000,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000
M Mulder,SPR,P,.500,2,4,2,2,1,0,0,1,0,1,0,0,1,0,0,.500,.750,1.250
H Quintero,COR,C,.250,3,12,0,3,2,0,0,1,0,1,0,0,0,0,1,.250,.417,.667
C Aldridge,NWA,DH,.269,49,167,23,45,6,1,10,40,25,37,2,4,1,2,2,.361,.497,.858
T Donovan,MID,CF,.274,79,307,53,84,14,2,1,26,42,63,37,6,2,1,7,.362,.342,.704
A Van Hekken,COR,P,.000,2,4,0,0,0,0,0,0,0,3,0,0,1,0,0,.000,.000,.000
D Parrish,SAN,C,.172,21,58,6,10,2,0,2,3,12,9,0,0,1,0,1,.324,.310,.634
H Blalock,FRI,3B,.421,6,19,5,8,3,0,0,4,4,5,1,0,0,0,1,.522,.579,1.101
M McDougall,SAN,3B,.256,10,43,5,11,4,0,0,4,2,6,1,0,0,0,1,.289,.349,.638
J Hall,TUL,P,.000,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000
J Richardson,NWA,1B,.296,133,494,90,146,36,2,16,82,54,93,2,5,0,4,17,.370,.474,.844
A Morrissey,ARK,3B,.280,78,286,28,80,15,0,9,34,23,72,2,2,1,3,6,.341,.427,.767
A Wainwright,SPR,P,.500,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,.500,.500,1.000
K Honel,SPR,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--
R Sadler,COR,OF,.290,33,107,24,31,6,3,4,19,10,20,1,2,0,2,1,.366,.514,.880
K Matsui,COR,2B,.429,2,7,1,3,3,0,0,0,0,1,0,0,1,0,1,.429,.857,1.286
C Smith,ARK,3B,.271,128,495,58,134,31,1,26,80,28,96,15,7,0,2,14,.321,.495,.816
E Moreno,SAN,P,.000,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
M Pagnozzi,SPR,C,.236,68,216,24,51,10,0,3,19,16,47,2,1,6,3,10,.294,.324,.618
V Majewski,COR,OF,.333,16,66,11,22,6,0,3,10,3,9,0,1,0,0,4,.362,.561,.923
T Blanco,TUL,3B,.323,103,390,59,126,34,0,23,88,31,74,6,2,0,7,10,.385,.587,.973
T Gradoville,FRI,C,.194,35,108,11,21,2,0,1,11,5,33,1,0,2,1,4,.241,.241,.482
A Greenberg,ARK,CF,.271,70,262,47,71,8,3,2,15,32,55,16,7,4,0,1,.361,.347,.709
R Zimmermann,SPR,P,--,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--
B Snyder,SAN,3B,.234,75,252,27,59,16,1,3,35,43,62,2,1,1,0,7,.348,.341,.689
R Robnett,MID,LF,.259,23,85,13,22,6,0,1,8,17,24,1,0,0,1,1,.385,.365,.749
G Melendez,COR,P,.000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
C Ragsdale,FRI,2B,.217,68,203,33,44,10,4,5,32,28,63,9,1,5,5,5,.322,.379,.702
J Ball,COR,CF,.259,52,170,30,44,11,5,1,16,25,48,14,2,1,0,2,.360,.400,.760
J Gaetti,MID,OF,.316,24,98,19,31,6,1,3,18,10,26,0,0,0,1,1,.382,.490,.872
M Trumbo,ARK,1B,.276,32,123,13,34,7,1,6,25,7,29,1,2,2,2,5,.311,.496,.807
J Ash,COR,2B,.260,32,123,16,32,5,1,0,9,17,4,1,0,1,2,2,.354,.317,.671
M Pina,FRI,C,.275,23,80,7,22,7,0,0,9,5,12,1,0,1,1,4,.330,.363,.692
A Peel,ARK,OF,.278,7,18,2,5,0,0,1,3,6,3,1,0,0,0,2,.480,.444,.924
P Trinidad,COR,P,.077,8,13,1,1,0,0,0,0,2,4,0,0,2,0,0,.200,.077,.277
K Thibault,NWA,C,.160,31,100,7,16,6,0,0,9,5,23,5,0,2,2,3,.196,.220,.416
M Miller,TUL,OF,.344,106,407,72,140,21,0,10,87,44,45,4,2,0,6,13,.408,.469,.877
J Jay,SPR,CF,.306,96,372,57,114,17,3,11,47,39,46,10,7,7,3,5,.379,.457,.836
R Cosby,COR,1B,.222,102,369,35,82,21,2,10,48,14,48,2,0,0,3,11,.253,.371,.624
E Cornejo,TUL,SS,.286,60,175,19,50,6,0,1,19,30,31,2,3,1,0,4,.393,.337,.730
M Ramirez,FRI,C,.354,69,243,49,86,16,2,17,50,37,56,2,2,0,2,4,.450,.646,1.096
D Macias,SAN,CF,.288,136,504,92,145,27,4,11,66,83,81,18,6,3,5,14,.393,.423,.816
S Walker,COR,P,.000,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
