rbi,Date,r,3b
12,"Mar 07, 2010",12,0
4,"May 14, 2010",4,0
6,"Mar 16, 2010",6,0
4,"Apr 9, 2010",4,0
9,"Feb 26, 2010",11,0
9,"Apr 28, 2010",10,0
11,"May 08, 2010",14,0
1,"May 01, 2010",1,0
8,"May 12, 2010",8,1
5,"Apr 30, 2010",6,0
6,"Apr 06, 2010",6,0
5,"Apr 25, 2010",5,0
6,"Mar 17, 2010",7,0
2,"Feb 20, 2010",2,0
8,"Mar 24, 2010",9,0
1,"Apr 10, 2010",1,0
3,"Mar 31, 2010",6,1
9,"Mar 09, 2010",9,0
13,"May 02, 2010",13,0
11,"Mar 19, 2010",11,0
2,"May 22, 2010",2,0
8,"Mar 27, 2010",9,0
5,"Apr 14, 2010",5,1
7,"Apr 11, 2010",7,0
10,"Apr 02, 2010",12,0
5,"May 09, 2010",6,0
9,"Apr 24, 2010",9,0
