Player Name,M,MIN,FGM-A,FG%,3PM-A,3P%,FTM-A,FT%,PFS,Pts,OFF,DEF,TOT,AST,STL,BLK,TO,PF,PTS
Dan Clausen,1,4:51,0 - 0,0.0,0 - 0,0.0,0 - 0,0.0, , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Morseu,1,15:36,0 - 5,0.0,0 - 0,0.0,0 - 0,0.0,1.0, ,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Darren Perry,18,533:54,62 - 155,40.0,30 - 78,38.5,32 - 43,74.4,30.0,186.0,0.2,1.2,1.4,3.3,1.8,0.0,1.6,1.7,10.3
Greg Fox,20,287:15,27 - 59,45.8,2 - 13,15.4,4 - 7,57.1,31.0,60.0,0.4,0.8,1.2,2.3,0.6,0.1,0.8,1.6,3.0
Greg Giddings,19,564:43,69 - 145,47.6,2 - 9,22.2,35 - 50,70.0,55.0,175.0,0.5,1.9,2.4,4.7,1.1,0.2,2.1,2.9,9.2
John Dorge,24,453:51,81 - 136,59.6,0 - 0,0.0,39 - 56,69.6,76.0,201.0,2.7,2.9,5.6,0.7,0.5,1.1,1.0,3.2,8.4
Larry Sengstock,23,734:52,128 - 275,46.5,7 - 10,70.0,26 - 42,61.9,72.0,289.0,2.9,4.6,7.5,2.6,0.9,0.7,1.7,3.1,12.6
Leroy Loggins,24,1007:12,225 - 452,49.8,41 - 99,41.4,57 - 68,83.8,73.0,548.0,2.3,3.9,6.2,4.2,2.8,1.1,3.0,3.0,22.8
Robert Sibley,24,739:59,157 - 238,66.0,0 - 0,0.0,55 - 79,69.6,80.0,369.0,2.6,3.8,6.4,1.9,0.8,0.6,1.5,3.3,15.4
Rodger Smith,8,51:09,3 - 7,42.9,0 - 0,0.0,4 - 5,80.0,4.0,10.0,0.3,0.6,0.9,0.3,0.9,0.0,0.8,0.5,1.3
Ron Radliff,24,689:31,99 - 239,41.4,68 - 151,45.0,23 - 27,85.2,35.0,289.0,0.5,1.3,1.8,3.1,1.4,0.2,1.1,1.5,12.0
Shane Edwards,7,72:22,9 - 19,47.4,2 - 2,100.0,0 - 0,0.0,7.0,20.0,0.4,1.0,1.4,2.1,0.9,0.0,0.7,1.0,2.9
Winston Crite,20,639:45,171 - 301,56.8,1 - 3,33.3,73 - 106,68.9,80.0,416.0,2.4,5.1,7.5,0.9,1.0,1.4,3.0,4.0,20.8
