RBI,Gact,PA,SLG,BB,H,Rk,RC
3,24,38,.152,4,5,507,1
3,11,20,.471,2,5,27,3
1,25,34,.290,1,6,255,2
106,139,634,.418,35,178,310,84
0,14,14,.000,2,0,82,0
21,76,327,.328,19,72,220,28
0,11,11,.300,0,3,10,1
0,13,8,.000,2,0,316,0
15,38,115,.422,5,37,85,17
0,1,2,.000,0,0,49,0
6,41,91,.247,5,18,278,5
11,35,117,.296,6,24,71,8
73,133,608,.412,80,146,199,80
3,20,63,.281,2,13,173,4
53,118,437,.421,26,116,498,56
33,95,379,.367,15,96,63,39
0,3,3,.000,0,0,329,0
3,29,37,.286,0,8,475,2
123,154,691,.497,67,197,171,118
12,69,111,.274,2,26,317,7
2,14,15,.214,1,3,281,1
1,6,12,.273,1,3,287,1
0,3,1,.000,0,0,273,0
25,70,251,.352,16,66,170,27
24,106,404,.266,15,96,342,28
10,20,66,.300,4,14,143,5
0,3,2,.000,0,0,191,0
0,13,12,.300,2,3,149,1
0,3,3,.000,0,0,219,0
71,131,538,.483,36,148,38,83
0,13,14,.000,4,0,303,0
28,117,495,.331,41,121,2,49
0,2,4,.000,0,0,462,0
95,138,612,.470,47,184,134,100
1,4,8,.429,1,2,201,1
70,123,521,.413,52,138,296,69
27,77,257,.357,21,56,106,25
0,3,8,.000,0,0,431,0
1,31,50,.114,6,5,441,1
2,33,45,.263,4,10,75,3
0,8,7,.000,0,0,389,0
2,36,68,.262,4,13,228,4
19,91,366,.317,53,73,36,34
102,141,656,.550,52,223,477,139
85,148,645,.521,64,176,480,113
3,30,60,.228,2,12,443,3
2,17,38,.182,2,5,381,1
2,16,23,.318,1,6,211,2
8,41,63,.367,3,18,407,7
5,23,36,.333,3,8,417,3
2,12,11,.333,2,2,69,1
0,3,2,.000,0,0,88,0
40,96,417,.340,29,91,321,38
0,10,5,.600,0,3,3,2
6,21,46,.318,1,12,445,4
4,18,61,.367,8,12,9,6
11,58,98,.380,3,28,207,12
