H,K,N,E,Q,J,C,L,B
7.01%,34,96,79.71%,4,0.00%,1603,1.82%,1868
39.93%,21,59,52.25%,0,0.56%,978,1.18%,1778
27.44%,138,19,51.99%,13,0.00%,1021,8.32%,1658
8.10%,0,57,77.90%,0,0.43%,1433,0.00%,1629
11.42%,0,72,63.36%,5,0.00%,2111,0.00%,2470
12.55%,22,0,61.99%,0,0.00%,1225,1.54%,1426
16.12%,32,51,66.57%,0,0.00%,1686,1.52%,2109
11.30%,111,106,68.94%,0,0.00%,2233,4.02%,2762
18.68%,43,118,60.52%,28,0.00%,843,3.39%,1269
11.39%,36,136,74.00%,0,0.00%,2793,1.08%,3346
5.29%,0,139,77.66%,0,0.00%,2709,0.00%,3022
4.97%,23,10,78.30%,0,0.00%,1351,1.56%,1470
8.81%,0,221,75.12%,0,0.00%,1354,0.00%,1736
10.52%,0,87,67.70%,0,1.38%,2656,0.00%,3127
15.86%,20,104,67.79%,0,0.00%,1229,1.24%,1608
11.43%,129,83,66.74%,76,0.00%,2910,3.56%,3623
7.40%,24,130,76.07%,0,0.00%,1498,1.35%,1784
9.57%,20,147,72.78%,0,0.00%,3100,0.55%,3637
12.41%,57,34,70.17%,107,0.00%,2964,1.58%,3610
0.83%,23,97,80.50%,0,0.00%,836,2.39%,964
11.04%,0,103,75.24%,0,1.35%,1199,0.00%,1486
8.36%,86,356,70.44%,0,0.44%,2273,2.89%,2977
5.02%,24,0,87.12%,0,0.00%,1016,2.19%,1095
12.61%,0,69,65.25%,0,0.00%,730,0.00%,944
5.73%,77,145,82.45%,0,0.00%,3049,2.22%,3470
22.79%,21,160,60.04%,36,0.00%,2350,0.62%,3378
16.46%,43,0,61.81%,0,0.00%,2333,1.51%,2844
15.48%,128,41,71.27%,0,0.00%,1271,7.34%,1744
3.33%,13,311,82.97%,17,0.00%,2854,0.39%,3305
16.10%,40,67,62.05%,0,0.00%,1118,2.74%,1460
12.19%,15,88,62.48%,20,0.00%,1815,0.68%,2207
8.43%,0,107,76.66%,0,1.15%,3999,0.00%,4541
1.91%,109,52,86.58%,0,0.00%,1995,4.96%,2198
6.06%,175,82,68.39%,10,0.79%,1492,9.22%,1898
7.87%,0,162,77.09%,0,0.00%,1981,0.00%,2326
15.09%,58,45,72.81%,11,0.00%,2272,2.06%,2810
9.67%,156,107,64.64%,0,0.00%,2230,5.65%,2760
8.68%,54,211,73.47%,0,0.00%,3448,1.32%,4079
12.97%,51,61,63.37%,16,0.32%,3925,1.07%,4748
16.23%,17,52,66.54%,0,0.00%,597,2.14%,795
12.83%,37,174,69.21%,0,0.00%,1193,2.26%,1637
6.77%,46,25,81.56%,0,0.00%,1279,3.18%,1448
9.75%,170,135,74.55%,0,0.00%,2730,5.06%,3363
32.72%,83,48,43.78%,0,0.38%,1096,4.53%,1834
3.89%,45,361,75.75%,41,0.00%,2296,1.58%,2854
12.13%,64,117,60.88%,16,0.55%,2636,1.96%,3264
11.38%,12,171,70.76%,0,0.00%,2074,0.47%,2558
23.92%,95,122,59.50%,11,0.00%,1422,4.33%,2195
7.19%,13,6,75.60%,20,0.33%,3008,0.39%,3295
8.33%,0,89,73.77%,42,0.76%,1550,0.00%,1849
17.72%,63,143,66.93%,0,0.00%,2322,2.04%,3081
16.47%,52,287,65.32%,16,0.00%,2333,1.62%,3218
10.39%,23,12,71.00%,0,0.00%,750,2.63%,876
5.94%,74,131,78.72%,14,0.00%,2742,2.35%,3148
