MP,DRtg,TS%,Rk,Opp
4:33,75, ,2,GSW
12:33,111,.000,52,NOH
2:17,92, ,33,DEN
16:21,99,.532,36,HOU
12:49,101,.000,63,PHO
11:56,109,.000,24,SAS
18:46,112,.667,54,MIA
3:12,123, ,32,CHA
26:09,101,.765,35,WAS
15:32,122, ,49,PHI
20:23,119,.621,19,DAL
15:44,111,.840,12,HOU
23:02,137,.732,37,LAC
16:37,123,.400,11,NOH
17:43,117,.410,29,CLE
10:58,114,.000,42,POR
20:43,110,.773,46,OKC
4:02,114,1.000,16,NOH
15:32,122,.000,61,POR
31:11,82,.200,38,TOR
18:45,110,.600,13,OKC
4:03,96, ,10,LAC
9:46,88,.333,56,POR
3:40,118, ,26,MIN
7:43,120,1.000,58,WAS
2:16,111, ,31,DET
17:45,137,.250,41,UTA
4:23,102,.000,6,MIL
21:05,124,.500,17,CHA
6:48,99,.000,47,LAL
4:07,104,.000,4,GSW
7:23,107, ,62,ORL
24:00,123,.500,8,OKC
10:24,113,.266,57,GSW
20:03,106,.000,55,SAC
