SB,2B,G
4,8,89
6,14,112
0,2,19
0,0,3
3,1,13
2,16,37
7,3,47
0,4,21
11,14,96
7,27,113
1,25,117
0,2,4
21,15,89
2,7,33
0,0,8
30,25,127
5,29,104
4,11,62
0,1,6
0,13,48
0,6,75
1,30,131
0,0,3
0,0,3
0,4,16
0,4,13
0,0,9
0,2,29
0,1,12
0,2,25
1,7,29
0,2,8
10,6,75
2,12,89
0,0,1
2,11,67
2,11,50
0,13,64
2,4,30
0,4,24
1,24,100
12,23,123
1,0,6
0,0,1
7,19,101
2,6,48
16,17,68
1,7,56
12,4,59
3,3,68
2,15,71
2,5,38
3,2,62
0,8,63
2,4,54
1,1,18
2,23,101
0,1,3
0,2,13
7,10,69
0,9,71
7,14,99
7,6,62
0,12,72
8,17,98
0,26,105
1,6,24
2,10,45
6,33,128
0,6,35
0,1,15
0,3,14
0,10,40
1,4,22
20,10,73
0,2,10
13,19,51
3,10,34
0,2,10
2,1,6
0,7,74
0,10,36
5,21,80
0,2,43
1,9,48
6,14,51
4,24,112
1,10,76
1,4,14
7,14,92
6,21,89
