Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
A Boone,JUP,1B,.000,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000
J Cirillo,FTM,3B,.000,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
J Giambi,TAM,1B,.308,5,13,0,4,1,0,0,1,3,5,0,0,0,0,0,.438,.385,.822
J Valentin,STL,2B,.125,3,8,4,1,0,0,1,4,2,2,0,0,0,1,1,.273,.500,.773
R White,FTM,OF,.222,4,9,2,2,1,0,0,1,1,0,0,0,0,0,0,.364,.333,.697
J Cabrera,PMB,2B,.000,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000
D Mientkiewicz,TAM,1B,.429,5,14,4,6,3,0,0,8,3,1,0,0,0,0,0,.529,.643,1.172
J Werth,CLR,RF,.077,4,13,3,1,0,0,0,0,2,4,0,0,0,0,1,.200,.077,.277
J Paul,VER,C,.160,7,25,3,4,0,0,0,1,0,2,0,0,0,1,2,.154,.160,.314
E Chavez,STL,OF,.500,4,16,3,8,1,0,0,2,0,0,0,1,0,0,0,.500,.563,1.063
C Coste,CLR,C,.400,3,10,3,4,1,0,0,1,0,1,0,0,0,0,0,.400,.500,.900
R Johnson,DUN,LF,.333,4,12,1,4,1,0,1,1,2,4,0,0,0,0,0,.429,.667,1.095
L Ugueto,FTM,SS,.228,76,267,27,61,11,1,2,16,27,58,12,5,1,2,6,.297,.300,.597
R Asadoorian,SAR,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--
J Mauer,FTM,C,.000,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,.250,.000,.250
R Baldelli,VER,OF,.000,2,5,1,0,0,0,0,0,1,1,0,0,0,0,0,.167,.000,.167
M Jacobs,JUP,1B,.167,3,12,2,2,0,0,1,3,1,2,0,0,0,0,0,.231,.417,.647
N Jackson,CLR,OF,.273,20,77,13,21,6,1,0,6,5,12,6,3,0,0,1,.325,.377,.702
C Ross,JUP,RF,.261,7,23,2,6,1,0,2,3,1,6,0,0,0,0,0,.292,.565,.857
V Hall,CLR,OF,.239,18,67,8,16,1,2,0,2,5,19,3,0,2,0,0,.292,.313,.605
H Matsui,TAM,OF,.333,2,6,1,2,0,0,0,0,0,0,0,0,0,0,2,.333,.333,.667
B Upton,VER,2B,.235,7,17,4,4,0,0,1,3,5,2,0,0,0,2,0,.375,.412,.787
M Perez,SAR,C,.324,30,108,12,35,5,0,4,18,6,19,0,0,0,2,5,.353,.481,.835
J Keppinger,SAR,2B,.333,3,12,1,4,2,0,0,1,0,0,0,1,0,1,0,.308,.500,.808
R Tablado,SAR,SS,.143,8,21,1,3,2,0,0,2,5,4,0,0,0,0,0,.308,.238,.546
