SLG,SB,OBP,BB,RBI,HR,SF,Team
0.422,0,0.333,11,6,3,0,MIS
0.286,0,0.308,5,3,1,0,HEL
0.415,8,0.32,15,35,4,3,IDF
0.358,1,0.288,3,4,2,0,GRF
0.25,1,0.407,2,1,0,0,MIS
0.544,4,0.367,23,53,12,1,OGD
0.431,26,0.397,18,26,1,1,IDF
0.36,1,0.337,30,24,3,2,GRF
0.214,2,0.31,14,6,0,1,IDF
0.208,0,0.25,4,4,0,0,ORM
0.364,0,0.368,21,18,1,2,OGD
0.355,5,0.349,34,27,2,2,IDF
0.417,2,0.333,0,2,0,0,BIL
0.336,3,0.343,28,29,1,4,ORM
0.3,2,0.291,4,7,1,0,OGD
0.272,0,0.321,18,13,0,3,BIL
0.275,1,0.333,18,10,1,0,CAS
0.195,1,0.242,5,9,0,1,IDF
0.167,0,0.286,2,0,0,0,BIL
0.423,2,0.325,14,27,8,2,GRF
0.167,0,0.286,0,0,0,0,ORM
0.42,1,0.341,38,41,8,4,IDF
0.15,0,0.19,1,2,0,0,BIL
0.214,0,0.194,2,2,1,0,MIS
0.319,7,0.33,27,31,3,2,MIS
0.361,11,0.298,20,27,6,0,ORM
0.292,0,0.394,21,13,0,1,OGD
0.184,2,0.266,18,5,0,0,HEL
0.242,0,0.288,6,4,0,1,HEL
0.338,4,0.342,11,7,1,0,HEL
0.333,0,0.404,8,3,0,0,ORM
0.363,1,0.317,18,23,3,3,CAS
0.308,0,0.328,29,23,1,2,HEL
