Loc #,Frequency,Emission,Class,Units,Pag,Pwr,Lat,Long,City,County,State
1,153.8,7K60FXE,MO,20,0,5.0,42.09069,-76.80217,ELMIRA,CHEMUNG,NY
1,153.8,11K2F3E,MO,20,0,5.0,42.09069,-76.80217,ELMIRA,CHEMUNG,NY
1,153.8075,11K2F3E,MO,20,0,5.0,42.09069,-76.80217,ELMIRA,CHEMUNG,NY
1,153.8075,7K60FXE,MO,20,0,5.0,42.09069,-76.80217,ELMIRA,CHEMUNG,NY
2,153.8,7K60FXE,MO,20,0,5.0,42.53161,-75.52486,NORWICH,CHENANGO,NY
2,153.8,11K2F3E,MO,20,0,5.0,42.53161,-75.52486,NORWICH,CHENANGO,NY
2,153.98,7K60FXE,MO,20,0,5.0,42.53161,-75.52486,NORWICH,CHENANGO,NY
2,153.98,11K2F3E,MO,20,0,5.0,42.53161,-75.52486,NORWICH,CHENANGO,NY
3,153.8225,11K2F3E,MO,20,0,5.0,42.59881,-76.17628,CORTLAND,CORTLAND,NY
3,153.8225,7K60FXE,MO,20,0,5.0,42.59881,-76.17628,CORTLAND,CORTLAND,NY
3,155.9775,11K2F3E,MO,20,0,5.0,42.59881,-76.17628,CORTLAND,CORTLAND,NY
3,155.9775,7K60FXE,MO,20,0,5.0,42.59881,-76.17628,CORTLAND,CORTLAND,NY
4,153.86,11K2F3E,MO,20,0,5.0,42.27775,-74.91711,DELHI,DELAWARE,NY
4,153.86,7K60FXE,MO,20,0,5.0,42.27775,-74.91711,DELHI,DELAWARE,NY
4,153.9275,7K60FXE,MO,20,0,5.0,42.27775,-74.91711,DELHI,DELAWARE,NY
4,153.9275,11K2F3E,MO,20,0,5.0,42.27775,-74.91711,DELHI,DELAWARE,NY
5,153.8,11K2F3E,MO,20,0,5.0,43.08,-75.70736,WAMPSVILLE,MADISON,NY
5,153.8,7K60FXE,MO,20,0,5.0,43.08,-75.70736,WAMPSVILLE,MADISON,NY
5,153.8075,11K2F3E,MO,20,0,5.0,43.08,-75.70736,WAMPSVILLE,MADISON,NY
5,153.8075,7K60FXE,MO,20,0,5.0,43.08,-75.70736,WAMPSVILLE,MADISON,NY
6,153.8,7K60FXE,MO,20,0,5.0,43.09647,-75.65308,ONEIDA,MADISON,NY
6,153.8,11K2F3E,MO,20,0,5.0,43.09647,-75.65308,ONEIDA,MADISON,NY
6,153.8075,7K60FXE,MO,20,0,5.0,43.09647,-75.65308,ONEIDA,MADISON,NY
6,153.8075,11K2F3E,MO,20,0,5.0,43.09647,-75.65308,ONEIDA,MADISON,NY
7,153.8,7K60FXE,MO,20,0,5.0,42.45461,-75.06089,COOPERSTOWN,OTSEGO,NY
7,153.8,11K2F3E,MO,20,0,5.0,42.45461,-75.06089,COOPERSTOWN,OTSEGO,NY
7,153.815,7K60FXE,MO,20,0,5.0,42.45461,-75.06089,COOPERSTOWN,OTSEGO,NY
7,153.815,11K2F3E,MO,20,0,5.0,42.45461,-75.06089,COOPERSTOWN,OTSEGO,NY
8,153.8,11K2F3E,MO,20,0,5.0,42.37756,-76.87158,WATKINS GLEN,SCHUYLER,NY
8,153.8,7K60FXE,MO,20,0,5.0,42.37756,-76.87158,WATKINS GLEN,SCHUYLER,NY
8,153.8075,7K60FXE,MO,20,0,5.0,42.37756,-76.87158,WATKINS GLEN,SCHUYLER,NY
8,153.8075,11K2F3E,MO,20,0,5.0,42.37756,-76.87158,WATKINS GLEN,SCHUYLER,NY
9,153.8,7K60FXE,MO,20,0,5.0,42.10247,-76.26222,OWEGO,TIOGA,NY
9,153.8,11K2F3E,MO,20,0,5.0,42.10247,-76.26222,OWEGO,TIOGA,NY
9,153.9275,7K60FXE,MO,20,0,5.0,42.10247,-76.26222,OWEGO,TIOGA,NY
9,153.9275,11K2F3E,MO,20,0,5.0,42.10247,-76.26222,OWEGO,TIOGA,NY
10,153.8,7K60FXE,MO,20,0,5.0,42.44161,-76.49692,ITHACA,TOMPKINS,NY
10,153.8,11K2F3E,MO,20,0,5.0,42.44161,-76.49692,ITHACA,TOMPKINS,NY
10,153.8075,11K2F3E,MO,20,0,5.0,42.44161,-76.49692,ITHACA,TOMPKINS,NY
10,153.8075,7K60FXE,MO,20,0,5.0,42.44161,-76.49692,ITHACA,TOMPKINS,NY
11,153.8225,7K60FXE,MO,20,0,5.0,42.09875,-75.91089,BINGHAMTON,BROOME,NY
11,153.8225,11K2F3E,MO,20,0,5.0,42.09875,-75.91089,BINGHAMTON,BROOME,NY
11,153.965,7K60FXE,MO,20,0,5.0,42.09875,-75.91089,BINGHAMTON,BROOME,NY
11,153.965,11K2F3E,MO,20,0,5.0,42.09875,-75.91089,BINGHAMTON,BROOME,NY
