TOV%,AST%,GmSc,TRB%,Opp
0.0,11.7,1.5,9.1,SAS
100.0,0.0,-1.5,13.8,UTA
0.0,0.0,-1.2,0.0,UTA
33.3,0.0,4.7,6.7,LAC
51.0,6.8,-2.5,10.3,MIA
 ,0.0,0.3,26.7,SAC
100.0,0.0,-0.8,13.3,NJN
17.0,0.0,4.7,6.2,BOS
0.0,0.0,1.8,34.3,CHI
34.7,7.0,3.9,3.7,SAS
9.7,0.0,10.9,11.4,NJN
0.0,0.0,1.3,21.6,TOR
60.0,0.0,-2.3,18.6,DEN
0.0,0.0,0.8,0.0,SAC
45.7,0.0,2.1,4.3,DEN
0.0,0.0,1.0,0.0,NYK
16.7,18.3,2.7,17.5,HOU
 ,0.0,1.0,0.0,POR
53.2,0.0,0.3,29.3,PHI
38.7,0.0,7.8,13.4,DAL
21.0,0.0,5.3,16.2,SAS
0.0,25.0,3.1,0.0,LAL
14.3,0.0,-2.1,7.8,POR
