AVG,RBI,Team,SF,CS,G,SO
.214,12,RED,2,3,31,21
.240,22,PAD,2,1,35,46
.188,4,ATH,0,0,26,17
.545,1,RAN,0,0,3,0
.174,5,ANG,0,0,20,28
.242,20,ANG,3,0,33,42
.375,2,PAD,0,0,4,4
.267,16,DOD,1,1,27,38
.250,25,GIA,2,1,33,35
.307,22,ANG,1,2,41,27
.286,10,ATH,0,0,9,12
.188,0,ATH,0,0,5,5
.250,9,BRE,2,0,10,3
.261,11,CUB,0,0,33,28
.295,24,GIA,1,4,45,36
.187,9,BRE,2,0,22,21
.274,11,IND,4,0,35,25
.214,1,RED,0,0,7,9
.276,8,CUB,1,0,17,9
.224,14,MAR,2,3,48,59
.000,0,CUB,0,0,1,0
.227,4,IND,0,1,25,20
.279,17,GIA,2,2,46,61
.304,2,RED,0,0,5,5
.314,35,RAN,3,2,51,42
.000,0,DOD,0,0,3,5
.286,5,RAN,0,0,8,5
.242,12,PAD,1,2,27,20
.280,25,CUB,2,5,48,33
.167,0,ATH,0,0,3,5
.228,21,MAR,3,2,38,45
.274,22,DOD,2,3,46,60
.230,24,RED,0,1,44,48
.197,9,ATH,2,3,45,28
.152,4,ATH,1,0,25,20
.435,2,DOD,0,0,6,1
.326,35,RAN,3,1,37,16
.000,0,DOD,0,0,1,1
.213,16,ROY,0,3,42,58
.171,4,BRE,0,1,11,6
.286,1,CUB,0,0,2,2
.240,12,PAD,0,1,29,28
.206,19,GIA,0,5,37,23
.239,6,DOD,1,1,28,28
.143,3,GIA,2,0,9,7
.230,14,ANG,0,4,43,45
.267,8,MAR,0,1,13,7
.600,1,RAN,0,0,2,2
.158,0,IND,0,0,6,8
.284,18,ANG,2,3,45,33
.333,0,IND,0,0,2,0
.273,2,ROY,0,0,3,4
.338,10,RED,1,2,22,22
.286,1,RED,0,1,8,4
.349,11,RED,0,2,18,5
.216,8,ATH,0,0,16,11
.301,14,GIA,4,2,32,23
.000,0,BRE,0,0,1,2
.278,4,RED,0,0,5,6
.206,3,RED,0,1,18,9
.329,14,MAR,0,4,40,31
.273,13,DOD,3,1,35,21
.242,12,BRE,1,0,18,18
.231,0,ANG,0,0,4,2
.200,7,RED,0,0,14,10
.247,9,ANG,0,2,23,30
.364,0,IND,0,0,9,7
.224,20,DOD,2,2,35,49
.000,0,RAN,0,0,1,1
.240,7,DOD,2,1,18,11
.369,20,RAN,2,4,40,28
.250,3,ANG,0,0,4,9
.231,3,ATH,0,0,4,5
.111,0,ROY,0,0,8,2
.311,19,GIA,0,2,31,28
.279,15,RAN,0,1,38,16
.206,16,CUB,1,0,28,21
.296,21,GIA,2,2,38,39
.216,16,ANG,0,2,38,55
.259,6,PAD,0,0,10,9
.700,0,CUB,0,1,2,0
.100,1,MAR,0,0,11,8
.000,0,BRE,0,0,1,2
.152,3,DOD,0,0,11,12
.300,10,RED,1,0,21,20
.000,0,ANG,0,0,3,1
.266,12,ATH,0,1,36,39
.280,6,RAN,2,0,7,6
.240,10,MAR,2,0,32,31
.239,9,RAN,2,4,34,39
.204,9,ATH,1,0,28,25
.152,11,ROY,2,1,39,49
.236,11,MAR,1,1,22,14
.250,3,ANG,0,0,9,16
.323,16,PAD,0,0,26,27
.192,9,PAD,0,2,27,20
.056,0,PAD,0,0,6,4
.278,19,ATH,0,1,35,33
.212,25,CUB,3,1,45,63
.306,1,ATH,0,1,10,4
.143,1,DOD,0,2,4,2
.220,7,GIA,2,1,18,18
.264,12,ROY,1,4,40,31
.237,9,DOD,0,2,25,27
.000,0,ATH,0,0,3,2
.239,6,DOD,2,0,16,14
.188,4,ATH,0,0,6,4
.444,3,GIA,0,0,3,2
.000,0,PAD,0,0,1,0
.333,2,GIA,0,0,4,1
.262,22,ROY,0,2,44,49
.353,6,GIA,1,0,12,7
.304,14,RED,4,0,15,18
.143,1,BRE,0,0,2,2
.311,8,RAN,1,2,26,15
.333,1,ROY,0,0,4,2
.167,1,DOD,0,0,2,2
.280,2,ROY,0,0,8,3
.347,11,BRE,0,0,14,3
1.000,0,ANG,0,0,1,0
.226,6,DOD,1,1,28,27
.250,8,BRE,0,1,13,15
